setid,"Temperature, K",Mole fraction of 1-methyl-3-octylimidazolium tetrafluoroborate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
TnNtt,298.15,0,101,882.209,Ijardar and Malek (2014),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
TnNtt,298.15,0.0963,101,944.168,Ijardar and Malek (2014),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
TnNtt,298.15,0.2018,101,987.574,Ijardar and Malek (2014),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
TnNtt,298.15,0.312,101,1018.46,Ijardar and Malek (2014),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
TnNtt,298.15,0.4027,101,1037.11,Ijardar and Malek (2014),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
TnNtt,298.15,0.4917,101,1051.3,Ijardar and Malek (2014),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
TnNtt,298.15,0.6241,101,1067.66,Ijardar and Malek (2014),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
TnNtt,298.15,0.6862,101,1073.96,Ijardar and Malek (2014),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
TnNtt,298.15,0.7615,101,1080.76,Ijardar and Malek (2014),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
TnNtt,298.15,0.8612,101,1088.58,Ijardar and Malek (2014),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
TnNtt,298.15,1,101,1097.6,Ijardar and Malek (2014),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
TnNtt,308.15,0,101,871.159,Ijardar and Malek (2014),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
TnNtt,308.15,0.0963,101,934.385,Ijardar and Malek (2014),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
