setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
TrOZG,298.15,0,100,786.9,Yasmeen et al. (2016),Density,Liquid,AAGIBL,CO,methanol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
TrOZG,298.15,0.1022,100,1085.7,Yasmeen et al. (2016),Density,Liquid,AAGIBL,CO,methanol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
TrOZG,298.15,0.2053,100,1238.6,Yasmeen et al. (2016),Density,Liquid,AAGIBL,CO,methanol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
TrOZG,298.15,0.2944,100,1303.1,Yasmeen et al. (2016),Density,Liquid,AAGIBL,CO,methanol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
TrOZG,298.15,0.4044,100,1343.8,Yasmeen et al. (2016),Density,Liquid,AAGIBL,CO,methanol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
TrOZG,298.15,0.5077,100,1366.3,Yasmeen et al. (2016),Density,Liquid,AAGIBL,CO,methanol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
TrOZG,298.15,0.5996,100,1380.6,Yasmeen et al. (2016),Density,Liquid,AAGIBL,CO,methanol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
TrOZG,298.15,0.705,100,1396.2,Yasmeen et al. (2016),Density,Liquid,AAGIBL,CO,methanol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
TrOZG,298.15,0.7932,100,1409.3,Yasmeen et al. (2016),Density,Liquid,AAGIBL,CO,methanol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
TrOZG,298.15,0.9014,100,1422.3,Yasmeen et al. (2016),Density,Liquid,AAGIBL,CO,methanol,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,,,
