setid,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
UDSsY,293.15,101.325,851.2,Keshapolla et al. (2019),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,,,,,,
UDSsY,298.15,101.325,847.6,Keshapolla et al. (2019),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,,,,,,
UDSsY,303.15,101.325,844.1,Keshapolla et al. (2019),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,,,,,,
UDSsY,308.15,101.325,840.5,Keshapolla et al. (2019),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,,,,,,
UDSsY,313.15,101.325,836.9,Keshapolla et al. (2019),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,,,,,,
UDSsY,318.15,101.325,833.3,Keshapolla et al. (2019),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,,,,,,
UDSsY,323.15,101.325,829.7,Keshapolla et al. (2019),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,,,,,,
UDSsY,328.15,101.325,826.1,Keshapolla et al. (2019),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,,,,,,
UDSsY,333.15,101.325,822.5,Keshapolla et al. (2019),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,,,,,,
UDSsY,338.15,101.325,818.9,Keshapolla et al. (2019),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,,,,,,
UDSsY,343.15,101.325,815.2,Keshapolla et al. (2019),Density,Liquid,ABbddy,CCCCCCCC(=O)[O-].CCCCCC[NH+](CCCCCC)CCCCCC,trihexylammonium octanoate,,,,,,
