setid,"Temperature, K",Mole fraction of water,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
UjLLT,288.15,0,101,1066.6,Gonzalez et al. (2012b),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
UjLLT,288.15,0.1088,101,1065.6,Gonzalez et al. (2012b),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
UjLLT,288.15,0.1227,101,1065.44,Gonzalez et al. (2012b),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
UjLLT,288.15,0.2017,101,1064.62,Gonzalez et al. (2012b),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
UjLLT,288.15,0.2943,101,1063.46,Gonzalez et al. (2012b),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
UjLLT,288.15,0.3952,101,1061.88,Gonzalez et al. (2012b),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
UjLLT,288.15,0.503,101,1059.83,Gonzalez et al. (2012b),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
UjLLT,288.15,0.5985,101,1057.37,Gonzalez et al. (2012b),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
UjLLT,288.15,0.7032,101,1053.63,Gonzalez et al. (2012b),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
UjLLT,288.15,0.805,101,1047.26,Gonzalez et al. (2012b),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
UjLLT,288.15,0.9006,101,1035.92,Gonzalez et al. (2012b),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
UjLLT,288.15,0.9503,101,1024.07,Gonzalez et al. (2012b),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
UjLLT,288.15,1,101,999.1,Gonzalez et al. (2012b),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
UjLLT,298.15,0,101,1060.2,Gonzalez et al. (2012b),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
UjLLT,298.15,0.1088,101,1059.2,Gonzalez et al. (2012b),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
UjLLT,298.15,0.1227,101,1059.01,Gonzalez et al. (2012b),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
UjLLT,298.15,0.2017,101,1058.16,Gonzalez et al. (2012b),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
UjLLT,298.15,0.2943,101,1056.98,Gonzalez et al. (2012b),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
UjLLT,298.15,0.3952,101,1055.35,Gonzalez et al. (2012b),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
UjLLT,298.15,0.503,101,1053.24,Gonzalez et al. (2012b),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
UjLLT,298.15,0.5985,101,1050.71,Gonzalez et al. (2012b),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
UjLLT,298.15,0.7032,101,1046.89,Gonzalez et al. (2012b),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
UjLLT,298.15,0.805,101,1040.5,Gonzalez et al. (2012b),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
UjLLT,298.15,0.9006,101,1029.6,Gonzalez et al. (2012b),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
UjLLT,298.15,0.9503,101,1018.75,Gonzalez et al. (2012b),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
UjLLT,298.15,1,101,997.04,Gonzalez et al. (2012b),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
UjLLT,308.15,0,101,1053.8,Gonzalez et al. (2012b),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
UjLLT,308.15,0.1088,101,1052.79,Gonzalez et al. (2012b),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
UjLLT,308.15,0.1227,101,1052.64,Gonzalez et al. (2012b),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
UjLLT,308.15,0.2017,101,1051.77,Gonzalez et al. (2012b),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
UjLLT,308.15,0.2943,101,1050.55,Gonzalez et al. (2012b),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
UjLLT,308.15,0.3952,101,1048.88,Gonzalez et al. (2012b),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
UjLLT,308.15,0.503,101,1046.7,Gonzalez et al. (2012b),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
