setid,"Temperature, K","MolaLity of triisobutylmethylphosphonium p-toluenesulfonate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
VBRBg,298.15,0,100,997.04,Warke et al. (2016),Density,Liquid,AADYJk,O,water,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,,,
VBRBg,298.15,0.0237,100,997.74,Warke et al. (2016),Density,Liquid,AADYJk,O,water,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,,,
VBRBg,298.15,0.0468,100,998.42,Warke et al. (2016),Density,Liquid,AADYJk,O,water,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,,,
VBRBg,298.15,0.0663,100,999,Warke et al. (2016),Density,Liquid,AADYJk,O,water,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,,,
VBRBg,298.15,0.0901,100,999.7,Warke et al. (2016),Density,Liquid,AADYJk,O,water,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,,,
VBRBg,298.15,0.1848,100,1002.5,Warke et al. (2016),Density,Liquid,AADYJk,O,water,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,,,
VBRBg,298.15,0.2883,100,1005.48,Warke et al. (2016),Density,Liquid,AADYJk,O,water,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,,,
VBRBg,298.15,0.3948,100,1008.42,Warke et al. (2016),Density,Liquid,AADYJk,O,water,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,,,
VBRBg,298.15,0.4278,100,1009.28,Warke et al. (2016),Density,Liquid,AADYJk,O,water,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,,,
VBRBg,298.15,0.478,100,1010.56,Warke et al. (2016),Density,Liquid,AADYJk,O,water,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,,,
VBRBg,298.15,0.5156,100,1011.48,Warke et al. (2016),Density,Liquid,AADYJk,O,water,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,,,
VBRBg,303.15,0,100,995.64,Warke et al. (2016),Density,Liquid,AADYJk,O,water,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,,,
VBRBg,303.15,0.0237,100,996.31,Warke et al. (2016),Density,Liquid,AADYJk,O,water,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,,,
VBRBg,303.15,0.0468,100,996.97,Warke et al. (2016),Density,Liquid,AADYJk,O,water,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,,,
VBRBg,303.15,0.0663,100,997.53,Warke et al. (2016),Density,Liquid,AADYJk,O,water,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,,,
VBRBg,303.15,0.0901,100,998.21,Warke et al. (2016),Density,Liquid,AADYJk,O,water,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,,,
VBRBg,303.15,0.1848,100,1000.89,Warke et al. (2016),Density,Liquid,AADYJk,O,water,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,,,
VBRBg,303.15,0.2883,100,1003.76,Warke et al. (2016),Density,Liquid,AADYJk,O,water,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,,,
VBRBg,303.15,0.3948,100,1006.58,Warke et al. (2016),Density,Liquid,AADYJk,O,water,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,,,
VBRBg,303.15,0.4278,100,1007.42,Warke et al. (2016),Density,Liquid,AADYJk,O,water,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,,,
VBRBg,303.15,0.478,100,1008.64,Warke et al. (2016),Density,Liquid,AADYJk,O,water,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,,,
VBRBg,303.15,0.5156,100,1009.52,Warke et al. (2016),Density,Liquid,AADYJk,O,water,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,,,
VBRBg,308.15,0,100,994.03,Warke et al. (2016),Density,Liquid,AADYJk,O,water,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,,,
VBRBg,308.15,0.0253,100,994.73,Warke et al. (2016),Density,Liquid,AADYJk,O,water,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,,,
VBRBg,308.15,0.053,100,995.49,Warke et al. (2016),Density,Liquid,AADYJk,O,water,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,,,
VBRBg,308.15,0.0791,100,996.21,Warke et al. (2016),Density,Liquid,AADYJk,O,water,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,,,
VBRBg,308.15,0.1003,100,996.79,Warke et al. (2016),Density,Liquid,AADYJk,O,water,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,,,
VBRBg,308.15,0.2056,100,999.66,Warke et al. (2016),Density,Liquid,AADYJk,O,water,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,,,
VBRBg,308.15,0.2689,100,1001.35,Warke et al. (2016),Density,Liquid,AADYJk,O,water,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,,,
VBRBg,308.15,0.3193,100,1002.66,Warke et al. (2016),Density,Liquid,AADYJk,O,water,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,,,
VBRBg,308.15,0.3643,100,1003.8,Warke et al. (2016),Density,Liquid,AADYJk,O,water,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,,,
VBRBg,308.15,0.4345,100,1005.51,Warke et al. (2016),Density,Liquid,AADYJk,O,water,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,,,
VBRBg,308.15,0.5175,100,1007.42,Warke et al. (2016),Density,Liquid,AADYJk,O,water,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,,,
VBRBg,313.15,0,100,992.21,Warke et al. (2016),Density,Liquid,AADYJk,O,water,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,,,
VBRBg,313.15,0.0253,100,992.9,Warke et al. (2016),Density,Liquid,AADYJk,O,water,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,,,
VBRBg,313.15,0.053,100,993.66,Warke et al. (2016),Density,Liquid,AADYJk,O,water,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,,,
VBRBg,313.15,0.0791,100,994.36,Warke et al. (2016),Density,Liquid,AADYJk,O,water,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,,,
VBRBg,313.15,0.1003,100,994.92,Warke et al. (2016),Density,Liquid,AADYJk,O,water,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,,,
VBRBg,313.15,0.2056,100,997.66,Warke et al. (2016),Density,Liquid,AADYJk,O,water,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,,,
VBRBg,313.15,0.2689,100,999.26,Warke et al. (2016),Density,Liquid,AADYJk,O,water,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,,,
VBRBg,313.15,0.3193,100,1000.5,Warke et al. (2016),Density,Liquid,AADYJk,O,water,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,,,
VBRBg,313.15,0.3643,100,1001.59,Warke et al. (2016),Density,Liquid,AADYJk,O,water,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,,,
VBRBg,313.15,0.4345,100,1003.25,Warke et al. (2016),Density,Liquid,AADYJk,O,water,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,,,
VBRBg,313.15,0.5175,100,1005.14,Warke et al. (2016),Density,Liquid,AADYJk,O,water,ABWlnv,CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,triisobutylmethylphosphonium p-toluenesulfonate,,,
