setid,"Temperature, K",Weight fraction of water,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
VFyJA,298.15,0,101,1101.9,Ma et al. (2013b),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
VFyJA,298.15,0.00279,101,1102.2,Ma et al. (2013b),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
VFyJA,298.15,0.00409,101,1102.3,Ma et al. (2013b),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
VFyJA,298.15,0.00539,101,1102.5,Ma et al. (2013b),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
VFyJA,298.15,0.0067,101,1102.6,Ma et al. (2013b),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
VFyJA,298.15,0.00819,101,1102.8,Ma et al. (2013b),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
VFyJA,303.15,0,101,1098.8,Ma et al. (2013b),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
VFyJA,303.15,0.00279,101,1099.1,Ma et al. (2013b),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
VFyJA,303.15,0.00409,101,1099.3,Ma et al. (2013b),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
VFyJA,303.15,0.00539,101,1099.4,Ma et al. (2013b),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
VFyJA,303.15,0.0067,101,1099.6,Ma et al. (2013b),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
VFyJA,303.15,0.00819,101,1099.7,Ma et al. (2013b),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
VFyJA,308.15,0,101,1095.8,Ma et al. (2013b),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
VFyJA,308.15,0.00279,101,1096.1,Ma et al. (2013b),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
VFyJA,308.15,0.00409,101,1096.2,Ma et al. (2013b),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
VFyJA,308.15,0.00539,101,1096.3,Ma et al. (2013b),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
VFyJA,308.15,0.0067,101,1096.5,Ma et al. (2013b),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
VFyJA,308.15,0.00819,101,1096.6,Ma et al. (2013b),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
VFyJA,313.15,0,101,1092.7,Ma et al. (2013b),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
VFyJA,313.15,0.00279,101,1093,Ma et al. (2013b),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
VFyJA,313.15,0.00409,101,1093.2,Ma et al. (2013b),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
VFyJA,313.15,0.00539,101,1093.3,Ma et al. (2013b),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
VFyJA,313.15,0.0067,101,1093.4,Ma et al. (2013b),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
VFyJA,313.15,0.00819,101,1093.6,Ma et al. (2013b),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
VFyJA,318.15,0,101,1089.7,Ma et al. (2013b),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
VFyJA,318.15,0.00279,101,1090,Ma et al. (2013b),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
VFyJA,318.15,0.00409,101,1090.1,Ma et al. (2013b),Density,Liquid,AADYJk,O,water,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
