setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium thiocyanate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
WEEKT,288.15,0,81.5,810.415,Haghani et al. (2021),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAONLE,CCC(C)O,butan-2-ol,,,
WEEKT,288.15,0.1009,81.5,862.2,Haghani et al. (2021),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAONLE,CCC(C)O,butan-2-ol,,,
WEEKT,288.15,0.199,81.5,903.7,Haghani et al. (2021),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAONLE,CCC(C)O,butan-2-ol,,,
WEEKT,288.15,0.3005,81.5,939.6,Haghani et al. (2021),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAONLE,CCC(C)O,butan-2-ol,,,
WEEKT,288.15,0.4008,81.5,969.4,Haghani et al. (2021),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAONLE,CCC(C)O,butan-2-ol,,,
WEEKT,288.15,0.4995,81.5,994,Haghani et al. (2021),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAONLE,CCC(C)O,butan-2-ol,,,
WEEKT,288.15,0.6014,81.5,1015.8,Haghani et al. (2021),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAONLE,CCC(C)O,butan-2-ol,,,
WEEKT,288.15,0.692,81.5,1032.6,Haghani et al. (2021),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAONLE,CCC(C)O,butan-2-ol,,,
WEEKT,288.15,0.7992,81.5,1049.9,Haghani et al. (2021),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAONLE,CCC(C)O,butan-2-ol,,,
WEEKT,288.15,0.8862,81.5,1062.3,Haghani et al. (2021),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAONLE,CCC(C)O,butan-2-ol,,,
