setid,"MolaLity of N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
WRPSO,0.0094,298.15,100,778.145,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
WRPSO,0.0094,303.15,100,772.716,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
WRPSO,0.0094,308.15,100,767.263,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
WRPSO,0.0094,313.15,100,761.774,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
WRPSO,0.0094,318.15,100,756.247,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
WRPSO,0.0165,298.15,100,779.333,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
WRPSO,0.0165,303.15,100,773.905,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
WRPSO,0.0165,308.15,100,768.452,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
WRPSO,0.0165,313.15,100,762.964,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
WRPSO,0.0165,318.15,100,757.44,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
WRPSO,0.0265,298.15,100,780.985,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
WRPSO,0.0265,303.15,100,775.56,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
WRPSO,0.0265,308.15,100,770.11,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
WRPSO,0.0265,313.15,100,764.619,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
WRPSO,0.0265,318.15,100,759.113,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABavQD,CC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-ethyl-N-methylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
