setid,Mole fraction of ethanol,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
WtIyP,0,298.15,101,1414.7,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABenCa,CCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylpyridinium bis[(trifluoromethyl)sulfonyl]amide,,,
WtIyP,0,303.15,101,1410.1,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABenCa,CCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylpyridinium bis[(trifluoromethyl)sulfonyl]amide,,,
WtIyP,0,308.15,101,1405.5,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABenCa,CCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylpyridinium bis[(trifluoromethyl)sulfonyl]amide,,,
WtIyP,0.0533,298.15,101,1407.9,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABenCa,CCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylpyridinium bis[(trifluoromethyl)sulfonyl]amide,,,
WtIyP,0.0533,303.15,101,1403.3,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABenCa,CCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylpyridinium bis[(trifluoromethyl)sulfonyl]amide,,,
WtIyP,0.0533,308.15,101,1398.7,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABenCa,CCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylpyridinium bis[(trifluoromethyl)sulfonyl]amide,,,
WtIyP,0.0924,298.15,101,1402.4,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABenCa,CCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylpyridinium bis[(trifluoromethyl)sulfonyl]amide,,,
WtIyP,0.0924,303.15,101,1397.9,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABenCa,CCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylpyridinium bis[(trifluoromethyl)sulfonyl]amide,,,
WtIyP,0.0924,308.15,101,1393.3,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABenCa,CCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylpyridinium bis[(trifluoromethyl)sulfonyl]amide,,,
WtIyP,0.1963,298.15,101,1386.5,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABenCa,CCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylpyridinium bis[(trifluoromethyl)sulfonyl]amide,,,
WtIyP,0.1963,303.15,101,1381.9,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABenCa,CCCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylpyridinium bis[(trifluoromethyl)sulfonyl]amide,,,
