setid,"Temperature, K",Mole fraction of water,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XDQzX,293.15,0,101.3,1008.5,Ayad et al. (2021),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
XDQzX,293.15,0.0734,101.3,1008.4,Ayad et al. (2021),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
XDQzX,293.15,0.2046,101.3,1007.7,Ayad et al. (2021),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
XDQzX,293.15,0.3056,101.3,1007.2,Ayad et al. (2021),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
XDQzX,293.15,0.3806,101.3,1006.9,Ayad et al. (2021),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
XDQzX,293.15,0.5091,101.3,1006.3,Ayad et al. (2021),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
XDQzX,293.15,0.6071,101.3,1005.9,Ayad et al. (2021),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
XDQzX,293.15,0.6987,101.3,1005.7,Ayad et al. (2021),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
XDQzX,293.15,0.8009,101.3,1005.6,Ayad et al. (2021),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
XDQzX,293.15,1,101.3,997.5,Ayad et al. (2021),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
XDQzX,303.15,0,101.3,1003.2,Ayad et al. (2021),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
XDQzX,303.15,0.0734,101.3,1002.7,Ayad et al. (2021),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
XDQzX,303.15,0.2046,101.3,1001.9,Ayad et al. (2021),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
XDQzX,303.15,0.3056,101.3,1001.3,Ayad et al. (2021),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
XDQzX,303.15,0.3806,101.3,1000.8,Ayad et al. (2021),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
XDQzX,303.15,0.5091,101.3,1000,Ayad et al. (2021),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
XDQzX,303.15,0.6071,101.3,999.5,Ayad et al. (2021),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
XDQzX,303.15,0.6987,101.3,999.1,Ayad et al. (2021),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
XDQzX,303.15,0.8009,101.3,998.9,Ayad et al. (2021),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
XDQzX,303.15,1,101.3,995.4,Ayad et al. (2021),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
XDQzX,313.15,0,101.3,997.4,Ayad et al. (2021),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
XDQzX,313.15,0.0821,101.3,996.7,Ayad et al. (2021),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
XDQzX,313.15,0.2139,101.3,995.8,Ayad et al. (2021),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
XDQzX,313.15,0.313,101.3,995.1,Ayad et al. (2021),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
XDQzX,313.15,0.397,101.3,994.5,Ayad et al. (2021),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
XDQzX,313.15,0.5171,101.3,993.6,Ayad et al. (2021),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
XDQzX,313.15,0.6069,101.3,993.1,Ayad et al. (2021),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
XDQzX,313.15,0.6976,101.3,992.5,Ayad et al. (2021),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
XDQzX,313.15,0.8005,101.3,992.3,Ayad et al. (2021),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
XDQzX,313.15,1,101.3,991.8,Ayad et al. (2021),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
XDQzX,323.15,0,101.3,991.5,Ayad et al. (2021),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
XDQzX,323.15,0.0821,101.3,990.7,Ayad et al. (2021),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
XDQzX,323.15,0.2139,101.3,989.8,Ayad et al. (2021),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
XDQzX,323.15,0.313,101.3,989.1,Ayad et al. (2021),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
XDQzX,323.15,0.397,101.3,988.4,Ayad et al. (2021),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
XDQzX,323.15,0.5171,101.3,987.3,Ayad et al. (2021),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
XDQzX,323.15,0.6069,101.3,986.7,Ayad et al. (2021),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
XDQzX,323.15,0.6976,101.3,986,Ayad et al. (2021),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
