setid,"Temperature, K","MolaLity of N-methyl-N-octylmorpholinium bis(trifluoromethanesulfonyl)imide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XNlvk,298.15,0,100,936.287,Marcinkowski et al. (2018),Density,Liquid,ABrFvV,CCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-methyl-N-octylmorpholinium bis(trifluoromethanesulfonyl)imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
XNlvk,298.15,0.01,100,937.707,Marcinkowski et al. (2018),Density,Liquid,ABrFvV,CCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-methyl-N-octylmorpholinium bis(trifluoromethanesulfonyl)imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
XNlvk,298.15,0.0158,100,938.513,Marcinkowski et al. (2018),Density,Liquid,ABrFvV,CCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-methyl-N-octylmorpholinium bis(trifluoromethanesulfonyl)imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
XNlvk,298.15,0.0256,100,939.876,Marcinkowski et al. (2018),Density,Liquid,ABrFvV,CCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-methyl-N-octylmorpholinium bis(trifluoromethanesulfonyl)imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
XNlvk,298.15,0.036,100,941.315,Marcinkowski et al. (2018),Density,Liquid,ABrFvV,CCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-methyl-N-octylmorpholinium bis(trifluoromethanesulfonyl)imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
XNlvk,298.15,0.0489,100,943.073,Marcinkowski et al. (2018),Density,Liquid,ABrFvV,CCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-methyl-N-octylmorpholinium bis(trifluoromethanesulfonyl)imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
XNlvk,298.15,0.0619,100,944.829,Marcinkowski et al. (2018),Density,Liquid,ABrFvV,CCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-methyl-N-octylmorpholinium bis(trifluoromethanesulfonyl)imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
XNlvk,298.15,0.0855,100,947.971,Marcinkowski et al. (2018),Density,Liquid,ABrFvV,CCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-methyl-N-octylmorpholinium bis(trifluoromethanesulfonyl)imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
XNlvk,298.15,0.1086,100,950.988,Marcinkowski et al. (2018),Density,Liquid,ABrFvV,CCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-methyl-N-octylmorpholinium bis(trifluoromethanesulfonyl)imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
XNlvk,298.15,0.1311,100,953.861,Marcinkowski et al. (2018),Density,Liquid,ABrFvV,CCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-methyl-N-octylmorpholinium bis(trifluoromethanesulfonyl)imide,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",,,
