setid,"Temperature, K",Mole fraction of sodium ethanoate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XYkkw,298.15,0,101,1098.3,Oliveira et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
XYkkw,298.15,0.0501,101,1104.5,Oliveira et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
XYkkw,298.15,0.1001,101,1111.2,Oliveira et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
XYkkw,298.15,0.1605,101,1119.6,Oliveira et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
XYkkw,303.15,0,101,1095.2,Oliveira et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
XYkkw,303.15,0.0501,101,1101.4,Oliveira et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
XYkkw,303.15,0.1001,101,1108.1,Oliveira et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
XYkkw,303.15,0.1605,101,1116.4,Oliveira et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
XYkkw,308.15,0,101,1092.4,Oliveira et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
XYkkw,308.15,0.0501,101,1098.3,Oliveira et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
XYkkw,308.15,0.1001,101,1105,Oliveira et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
XYkkw,308.15,0.1605,101,1113.3,Oliveira et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
XYkkw,313.15,0,101,1089.4,Oliveira et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
XYkkw,313.15,0.0501,101,1095.5,Oliveira et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
XYkkw,313.15,0.1001,101,1102.1,Oliveira et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
XYkkw,313.15,0.1605,101,1110.2,Oliveira et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
XYkkw,318.15,0,101,1086.4,Oliveira et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
XYkkw,318.15,0.0501,101,1092.5,Oliveira et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
XYkkw,318.15,0.1001,101,1099.1,Oliveira et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
XYkkw,318.15,0.1605,101,1107.2,Oliveira et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
XYkkw,323.15,0,101,1083.4,Oliveira et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
XYkkw,323.15,0.0501,101,1089.4,Oliveira et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
XYkkw,323.15,0.1001,101,1096.1,Oliveira et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
XYkkw,323.15,0.1605,101,1104.1,Oliveira et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
