setid,Mole fraction of 1-ethyl-3-methylimidazolium ethyl sulfate,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XZyKq,0,101.3,298.15,818.95,Domanska and Laskowska (2008),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
XZyKq,0.0421,101.3,298.15,843.05,Domanska and Laskowska (2008),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
XZyKq,0.0988,101.3,298.15,872.09,Domanska and Laskowska (2008),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
XZyKq,0.1764,101.3,298.15,911.77,Domanska and Laskowska (2008),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
XZyKq,0.304,101.3,298.15,972.32,Domanska and Laskowska (2008),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
XZyKq,0.4169,101.3,298.15,1022.57,Domanska and Laskowska (2008),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
XZyKq,0.5354,101.3,298.15,1072.18,Domanska and Laskowska (2008),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
XZyKq,0.6139,101.3,298.15,1103.83,Domanska and Laskowska (2008),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
XZyKq,0.7102,101.3,298.15,1140.03,Domanska and Laskowska (2008),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
XZyKq,0.8073,101.3,298.15,1176.2,Domanska and Laskowska (2008),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
XZyKq,0.9187,101.3,298.15,1213.1,Domanska and Laskowska (2008),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
XZyKq,0.971,101.3,298.15,1229.1,Domanska and Laskowska (2008),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
XZyKq,1,101.3,298.15,1238,Domanska and Laskowska (2008),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
