setid,"Temperature, K","Mole fraction of 1,3-dimethylimidazolium dimethyl phosphate","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
YOMVs,293.15,0,101,803.6,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,293.15,0.1002,101,904.2,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,293.15,0.201,101,980.4,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,293.15,0.3005,101,1040.5,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,293.15,0.4004,101,1090.1,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,293.15,0.4998,101,1131,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,293.15,0.6,101,1166.1,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,293.15,0.6982,101,1195.5,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,293.15,0.8007,101,1222,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,293.15,0.902,101,1244.7,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,293.15,1,101,1264.9,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,298.15,0,101,799.7,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
YOMVs,298.15,0.1002,101,900.4,Zhang et al. (2014d),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
