setid,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
YdGUr,288.15,101.325,1389.7,Bhattacharjee et al. (2014a),Density,Liquid,ABfwWx,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide,,,,,,
YdGUr,293.15,101.325,1385.2,Bhattacharjee et al. (2014a),Density,Liquid,ABfwWx,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide,,,,,,
YdGUr,298.15,101.325,1380.8,Bhattacharjee et al. (2014a),Density,Liquid,ABfwWx,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide,,,,,,
YdGUr,303.15,101.325,1376.5,Bhattacharjee et al. (2014a),Density,Liquid,ABfwWx,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide,,,,,,
YdGUr,308.15,101.325,1372.2,Bhattacharjee et al. (2014a),Density,Liquid,ABfwWx,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide,,,,,,
YdGUr,313.15,101.325,1367.9,Bhattacharjee et al. (2014a),Density,Liquid,ABfwWx,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide,,,,,,
YdGUr,318.15,101.325,1363.6,Bhattacharjee et al. (2014a),Density,Liquid,ABfwWx,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide,,,,,,
YdGUr,323.15,101.325,1359.4,Bhattacharjee et al. (2014a),Density,Liquid,ABfwWx,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide,,,,,,
YdGUr,328.15,101.325,1355.2,Bhattacharjee et al. (2014a),Density,Liquid,ABfwWx,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide,,,,,,
YdGUr,333.15,101.325,1351,Bhattacharjee et al. (2014a),Density,Liquid,ABfwWx,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide,,,,,,
YdGUr,338.15,101.325,1346.8,Bhattacharjee et al. (2014a),Density,Liquid,ABfwWx,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide,,,,,,
YdGUr,343.15,101.325,1342.7,Bhattacharjee et al. (2014a),Density,Liquid,ABfwWx,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide,,,,,,
YdGUr,348.15,101.325,1338.6,Bhattacharjee et al. (2014a),Density,Liquid,ABfwWx,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide,,,,,,
YdGUr,353.15,101.325,1334.5,Bhattacharjee et al. (2014a),Density,Liquid,ABfwWx,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpiperidinium bis(trifluoromethanesulfonyl)imide,,,,,,
