setid,"Temperature, K","Pressure, kPa","Molar volume, m<SUP>3</SUP>/mol",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
YqMzQ,298.14,1020,0.000476,Muldoon et al. (2007),Density,Liquid,Gas,,20,AAIYzl,O=C=O,carbon dioxide,ADQnQj,CCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-pentyl-3-methylimidazolium tris(nonafluorobutyl)trifluorophosphate
YqMzQ,298.14,2190,0.000375,Muldoon et al. (2007),Density,Liquid,Gas,,20,AAIYzl,O=C=O,carbon dioxide,ADQnQj,CCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-pentyl-3-methylimidazolium tris(nonafluorobutyl)trifluorophosphate
YqMzQ,298.14,2850,0.000285,Muldoon et al. (2007),Density,Liquid,Gas,,20,AAIYzl,O=C=O,carbon dioxide,ADQnQj,CCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-pentyl-3-methylimidazolium tris(nonafluorobutyl)trifluorophosphate
YqMzQ,298.14,3850,0.000244,Muldoon et al. (2007),Density,Liquid,Gas,,20,AAIYzl,O=C=O,carbon dioxide,ADQnQj,CCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-pentyl-3-methylimidazolium tris(nonafluorobutyl)trifluorophosphate
YqMzQ,298.14,5240,0.000153,Muldoon et al. (2007),Density,Liquid,Gas,,20,AAIYzl,O=C=O,carbon dioxide,ADQnQj,CCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-pentyl-3-methylimidazolium tris(nonafluorobutyl)trifluorophosphate
YqMzQ,313.35,1300,0.000373,Muldoon et al. (2007),Density,Liquid,Gas,,20,AAIYzl,O=C=O,carbon dioxide,ADQnQj,CCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-pentyl-3-methylimidazolium tris(nonafluorobutyl)trifluorophosphate
YqMzQ,313.35,2280,0.000305,Muldoon et al. (2007),Density,Liquid,Gas,,20,AAIYzl,O=C=O,carbon dioxide,ADQnQj,CCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-pentyl-3-methylimidazolium tris(nonafluorobutyl)trifluorophosphate
YqMzQ,313.35,3480,0.00023,Muldoon et al. (2007),Density,Liquid,Gas,,20,AAIYzl,O=C=O,carbon dioxide,ADQnQj,CCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-pentyl-3-methylimidazolium tris(nonafluorobutyl)trifluorophosphate
YqMzQ,313.35,5000,0.000175,Muldoon et al. (2007),Density,Liquid,Gas,,20,AAIYzl,O=C=O,carbon dioxide,ADQnQj,CCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-pentyl-3-methylimidazolium tris(nonafluorobutyl)trifluorophosphate
YqMzQ,313.35,6230,0.000143,Muldoon et al. (2007),Density,Liquid,Gas,,20,AAIYzl,O=C=O,carbon dioxide,ADQnQj,CCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-pentyl-3-methylimidazolium tris(nonafluorobutyl)trifluorophosphate
YqMzQ,313.35,7100,0.000126,Muldoon et al. (2007),Density,Liquid,Gas,,20,AAIYzl,O=C=O,carbon dioxide,ADQnQj,CCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-pentyl-3-methylimidazolium tris(nonafluorobutyl)trifluorophosphate
YqMzQ,313.35,8460,9.75e-05,Muldoon et al. (2007),Density,Liquid,Gas,,20,AAIYzl,O=C=O,carbon dioxide,ADQnQj,CCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-pentyl-3-methylimidazolium tris(nonafluorobutyl)trifluorophosphate
YqMzQ,333.4,99.7,0.000551,Muldoon et al. (2007),Density,Liquid,Gas,,20,AAIYzl,O=C=O,carbon dioxide,ADQnQj,CCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-pentyl-3-methylimidazolium tris(nonafluorobutyl)trifluorophosphate
YqMzQ,333.4,1210,0.000428,Muldoon et al. (2007),Density,Liquid,Gas,,20,AAIYzl,O=C=O,carbon dioxide,ADQnQj,CCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-pentyl-3-methylimidazolium tris(nonafluorobutyl)trifluorophosphate
YqMzQ,333.4,2280,0.000344,Muldoon et al. (2007),Density,Liquid,Gas,,20,AAIYzl,O=C=O,carbon dioxide,ADQnQj,CCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-pentyl-3-methylimidazolium tris(nonafluorobutyl)trifluorophosphate
YqMzQ,333.4,3460,0.000279,Muldoon et al. (2007),Density,Liquid,Gas,,20,AAIYzl,O=C=O,carbon dioxide,ADQnQj,CCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-pentyl-3-methylimidazolium tris(nonafluorobutyl)trifluorophosphate
YqMzQ,333.4,5030,0.000221,Muldoon et al. (2007),Density,Liquid,Gas,,20,AAIYzl,O=C=O,carbon dioxide,ADQnQj,CCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-pentyl-3-methylimidazolium tris(nonafluorobutyl)trifluorophosphate
YqMzQ,333.4,6410,0.00018,Muldoon et al. (2007),Density,Liquid,Gas,,20,AAIYzl,O=C=O,carbon dioxide,ADQnQj,CCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1-pentyl-3-methylimidazolium tris(nonafluorobutyl)trifluorophosphate
