setid,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZCOmu,298.15,101,1188.96,Zawadzki et al. (2014),Density,Liquid,AAtVgT,CCCCC[N+]1(C)CCCC1.[Br-],1-methyl-1-pentylpyrrolidinium bromide,,,,,,
ZCOmu,303.15,101,1185.14,Zawadzki et al. (2014),Density,Liquid,AAtVgT,CCCCC[N+]1(C)CCCC1.[Br-],1-methyl-1-pentylpyrrolidinium bromide,,,,,,
ZCOmu,308.15,101,1181.35,Zawadzki et al. (2014),Density,Liquid,AAtVgT,CCCCC[N+]1(C)CCCC1.[Br-],1-methyl-1-pentylpyrrolidinium bromide,,,,,,
ZCOmu,313.15,101,1177.58,Zawadzki et al. (2014),Density,Liquid,AAtVgT,CCCCC[N+]1(C)CCCC1.[Br-],1-methyl-1-pentylpyrrolidinium bromide,,,,,,
ZCOmu,318.15,101,1173.84,Zawadzki et al. (2014),Density,Liquid,AAtVgT,CCCCC[N+]1(C)CCCC1.[Br-],1-methyl-1-pentylpyrrolidinium bromide,,,,,,
ZCOmu,323.15,101,1170.12,Zawadzki et al. (2014),Density,Liquid,AAtVgT,CCCCC[N+]1(C)CCCC1.[Br-],1-methyl-1-pentylpyrrolidinium bromide,,,,,,
ZCOmu,328.15,101,1166.42,Zawadzki et al. (2014),Density,Liquid,AAtVgT,CCCCC[N+]1(C)CCCC1.[Br-],1-methyl-1-pentylpyrrolidinium bromide,,,,,,
ZCOmu,333.15,101,1162.75,Zawadzki et al. (2014),Density,Liquid,AAtVgT,CCCCC[N+]1(C)CCCC1.[Br-],1-methyl-1-pentylpyrrolidinium bromide,,,,,,
ZCOmu,338.15,101,1159.1,Zawadzki et al. (2014),Density,Liquid,AAtVgT,CCCCC[N+]1(C)CCCC1.[Br-],1-methyl-1-pentylpyrrolidinium bromide,,,,,,
ZCOmu,343.15,101,1155.48,Zawadzki et al. (2014),Density,Liquid,AAtVgT,CCCCC[N+]1(C)CCCC1.[Br-],1-methyl-1-pentylpyrrolidinium bromide,,,,,,
