setid,"Temperature, K",Mole fraction of water,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZRKTx,288.15,0.0718,100,1012.7,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,288.15,0.1358,100,1012.6,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,288.15,0.1942,100,1012.3,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,288.15,0.2886,100,1011.7,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,288.15,0.3569,100,1011.4,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,288.15,0.431,100,1010.9,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,288.15,0.5238,100,1010.7,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,288.15,0.6162,100,1010.4,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,288.15,0.7143,100,1010.1,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,288.15,0.7708,100,1010.1,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,293.15,0.0718,100,1009.8,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,293.15,0.1358,100,1009.6,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,293.15,0.1942,100,1009.2,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,293.15,0.2886,100,1008.6,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,293.15,0.3569,100,1008.2,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,293.15,0.431,100,1007.9,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,293.15,0.5238,100,1007.5,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,293.15,0.6162,100,1007.1,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,293.15,0.7143,100,1006.9,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,293.15,0.7708,100,1006.6,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,298.15,0.0718,100,1006.5,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,298.15,0.1358,100,1006.4,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,298.15,0.1942,100,1006,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,298.15,0.2886,100,1005.5,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,298.15,0.3569,100,1005,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,298.15,0.431,100,1004.6,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,298.15,0.5238,100,1004.1,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,298.15,0.6162,100,1003.7,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,298.15,0.7143,100,1003.3,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,298.15,0.7708,100,1003.2,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,303.15,0.0718,100,1003.5,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,303.15,0.1358,100,1003.2,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,303.15,0.1942,100,1002.8,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
ZRKTx,303.15,0.2886,100,1002.3,Havlova and Dohnal (2022),Density,Liquid,AADYJk,O,water,AAsjdp,CCCC[N+]1(C)CCCC1.N#C[C-](C#N)C#N,1-butyl-1-methylpyrrolidinium tricyanomethanide,,,
