setid,"Temperature, K",Mole fraction of 1-hexyl-3-methylimidazolium hexafluorophosphate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZSyEp,293.15,0,101,881.134,Malek et al. (2014b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
ZSyEp,293.15,0.0956,101,951.75,Malek et al. (2014b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
ZSyEp,293.15,0.1919,101,1012.58,Malek et al. (2014b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
ZSyEp,293.15,0.273,101,1056.82,Malek et al. (2014b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
ZSyEp,293.15,0.3698,101,1103.12,Malek et al. (2014b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
ZSyEp,293.15,0.4639,101,1141.9,Malek et al. (2014b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
ZSyEp,293.15,0.5701,101,1179.6,Malek et al. (2014b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
ZSyEp,293.15,0.6787,101,1213.1,Malek et al. (2014b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
ZSyEp,293.15,0.7746,101,1239.2,Malek et al. (2014b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
ZSyEp,293.15,0.8707,101,1262.7,Malek et al. (2014b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
ZSyEp,293.15,0.9354,101,1277.7,Malek et al. (2014b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
ZSyEp,293.15,1,101,1291.4,Malek et al. (2014b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
ZSyEp,298.15,0,101,876.004,Malek et al. (2014b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
ZSyEp,298.15,0.0956,101,947.32,Malek et al. (2014b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
ZSyEp,298.15,0.1919,101,1008.36,Malek et al. (2014b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
ZSyEp,298.15,0.273,101,1052.6,Malek et al. (2014b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
ZSyEp,298.15,0.3698,101,1098.76,Malek et al. (2014b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
ZSyEp,298.15,0.4639,101,1137.5,Malek et al. (2014b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
ZSyEp,298.15,0.5701,101,1175.4,Malek et al. (2014b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
ZSyEp,298.15,0.6787,101,1209.2,Malek et al. (2014b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
ZSyEp,298.15,0.7746,101,1235.6,Malek et al. (2014b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
