setid,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZTttD,298.15,101.325,1377.6,Er et al. (2019),Density,Liquid,ABdqsP,CCCCCC[NH2+]CCN.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(2-aminoethyl)hexan-1-aminium bis((trifluoromethyl)sulfonyl)amide,,,,,,
ZTttD,303.15,101.325,1374.7,Er et al. (2019),Density,Liquid,ABdqsP,CCCCCC[NH2+]CCN.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(2-aminoethyl)hexan-1-aminium bis((trifluoromethyl)sulfonyl)amide,,,,,,
ZTttD,308.15,101.325,1370.6,Er et al. (2019),Density,Liquid,ABdqsP,CCCCCC[NH2+]CCN.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(2-aminoethyl)hexan-1-aminium bis((trifluoromethyl)sulfonyl)amide,,,,,,
ZTttD,313.15,101.325,1365.7,Er et al. (2019),Density,Liquid,ABdqsP,CCCCCC[NH2+]CCN.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(2-aminoethyl)hexan-1-aminium bis((trifluoromethyl)sulfonyl)amide,,,,,,
ZTttD,318.15,101.325,1361.5,Er et al. (2019),Density,Liquid,ABdqsP,CCCCCC[NH2+]CCN.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(2-aminoethyl)hexan-1-aminium bis((trifluoromethyl)sulfonyl)amide,,,,,,
ZTttD,323.15,101.325,1357.6,Er et al. (2019),Density,Liquid,ABdqsP,CCCCCC[NH2+]CCN.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(2-aminoethyl)hexan-1-aminium bis((trifluoromethyl)sulfonyl)amide,,,,,,
ZTttD,328.15,101.325,1353,Er et al. (2019),Density,Liquid,ABdqsP,CCCCCC[NH2+]CCN.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(2-aminoethyl)hexan-1-aminium bis((trifluoromethyl)sulfonyl)amide,,,,,,
ZTttD,333.15,101.325,1347.1,Er et al. (2019),Density,Liquid,ABdqsP,CCCCCC[NH2+]CCN.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(2-aminoethyl)hexan-1-aminium bis((trifluoromethyl)sulfonyl)amide,,,,,,
ZTttD,338.15,101.325,1341.4,Er et al. (2019),Density,Liquid,ABdqsP,CCCCCC[NH2+]CCN.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(2-aminoethyl)hexan-1-aminium bis((trifluoromethyl)sulfonyl)amide,,,,,,
ZTttD,343.15,101.325,1337.8,Er et al. (2019),Density,Liquid,ABdqsP,CCCCCC[NH2+]CCN.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(2-aminoethyl)hexan-1-aminium bis((trifluoromethyl)sulfonyl)amide,,,,,,
ZTttD,348.15,101.325,1333,Er et al. (2019),Density,Liquid,ABdqsP,CCCCCC[NH2+]CCN.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(2-aminoethyl)hexan-1-aminium bis((trifluoromethyl)sulfonyl)amide,,,,,,
ZTttD,353.15,101.325,1329.7,Er et al. (2019),Density,Liquid,ABdqsP,CCCCCC[NH2+]CCN.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-(2-aminoethyl)hexan-1-aminium bis((trifluoromethyl)sulfonyl)amide,,,,,,
