setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium tetrafluoroborate,Mole fraction of cyclopentanone,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZobKL,293.15,0.1158,0.4936,100,1008.8,Malik et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQJPN,O=C1CCCC1,cyclopentanone,AAStxH,O=C1CCCCC1,cyclohexanone
ZobKL,293.15,0.1373,0.48,100,1019.2,Malik et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQJPN,O=C1CCCC1,cyclopentanone,AAStxH,O=C1CCCCC1,cyclohexanone
ZobKL,293.15,0.1548,0.4705,100,1027.3,Malik et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQJPN,O=C1CCCC1,cyclopentanone,AAStxH,O=C1CCCCC1,cyclohexanone
ZobKL,293.15,0.1789,0.4611,100,1038,Malik et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQJPN,O=C1CCCC1,cyclopentanone,AAStxH,O=C1CCCCC1,cyclohexanone
ZobKL,293.15,0.2006,0.4449,100,1046.9,Malik et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQJPN,O=C1CCCC1,cyclopentanone,AAStxH,O=C1CCCCC1,cyclohexanone
ZobKL,293.15,0.2399,0.4248,100,1062,Malik et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQJPN,O=C1CCCC1,cyclopentanone,AAStxH,O=C1CCCCC1,cyclohexanone
ZobKL,293.15,0.2576,0.4092,100,1068.2,Malik et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQJPN,O=C1CCCC1,cyclopentanone,AAStxH,O=C1CCCCC1,cyclohexanone
ZobKL,293.15,0.2778,0.3984,100,1075.1,Malik et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQJPN,O=C1CCCC1,cyclopentanone,AAStxH,O=C1CCCCC1,cyclohexanone
ZobKL,293.15,0.2942,0.3843,100,1080.3,Malik et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQJPN,O=C1CCCC1,cyclopentanone,AAStxH,O=C1CCCCC1,cyclohexanone
ZobKL,293.15,0.3174,0.3654,100,1087.3,Malik et al. (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAQJPN,O=C1CCCC1,cyclopentanone,AAStxH,O=C1CCCCC1,cyclohexanone
