setid,"Temperature, K","MolaLity of N-decylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
aDPpT,293.15,0.01946,101,999.63,Zhang et al. (2021b),Density,Liquid,ABnYaD,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCC)[N+]1=CC=CC=C1,N-decylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
aDPpT,293.15,0.0289,101,1000.25,Zhang et al. (2021b),Density,Liquid,ABnYaD,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCC)[N+]1=CC=CC=C1,N-decylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
aDPpT,293.15,0.03894,101,1000.89,Zhang et al. (2021b),Density,Liquid,ABnYaD,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCC)[N+]1=CC=CC=C1,N-decylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
aDPpT,293.15,0.04907,101,1001.52,Zhang et al. (2021b),Density,Liquid,ABnYaD,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCC)[N+]1=CC=CC=C1,N-decylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
aDPpT,293.15,0.059,101,1002.12,Zhang et al. (2021b),Density,Liquid,ABnYaD,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCC)[N+]1=CC=CC=C1,N-decylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
aDPpT,293.15,0.0689,101,1002.71,Zhang et al. (2021b),Density,Liquid,ABnYaD,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCC)[N+]1=CC=CC=C1,N-decylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
aDPpT,293.15,0.079,101,1003.31,Zhang et al. (2021b),Density,Liquid,ABnYaD,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCC)[N+]1=CC=CC=C1,N-decylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
aDPpT,293.15,0.0893,101,1003.92,Zhang et al. (2021b),Density,Liquid,ABnYaD,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCC)[N+]1=CC=CC=C1,N-decylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
aDPpT,293.15,0.1,101,1004.54,Zhang et al. (2021b),Density,Liquid,ABnYaD,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCC)[N+]1=CC=CC=C1,N-decylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
aDPpT,298.15,0.00978,101,997.78,Zhang et al. (2021b),Density,Liquid,ABnYaD,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCC)[N+]1=CC=CC=C1,N-decylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
aDPpT,298.15,0.01946,101,998.42,Zhang et al. (2021b),Density,Liquid,ABnYaD,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCC)[N+]1=CC=CC=C1,N-decylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
aDPpT,298.15,0.0289,101,999.02,Zhang et al. (2021b),Density,Liquid,ABnYaD,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCC)[N+]1=CC=CC=C1,N-decylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
aDPpT,298.15,0.03894,101,999.64,Zhang et al. (2021b),Density,Liquid,ABnYaD,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCC)[N+]1=CC=CC=C1,N-decylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
aDPpT,298.15,0.04907,101,1000.27,Zhang et al. (2021b),Density,Liquid,ABnYaD,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCC)[N+]1=CC=CC=C1,N-decylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
aDPpT,298.15,0.059,101,1000.86,Zhang et al. (2021b),Density,Liquid,ABnYaD,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCC)[N+]1=CC=CC=C1,N-decylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
aDPpT,298.15,0.0689,101,1001.45,Zhang et al. (2021b),Density,Liquid,ABnYaD,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCC)[N+]1=CC=CC=C1,N-decylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
aDPpT,298.15,0.079,101,1002.03,Zhang et al. (2021b),Density,Liquid,ABnYaD,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCC)[N+]1=CC=CC=C1,N-decylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
aDPpT,298.15,0.0893,101,1002.63,Zhang et al. (2021b),Density,Liquid,ABnYaD,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCC)[N+]1=CC=CC=C1,N-decylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
aDPpT,298.15,0.1,101,1003.25,Zhang et al. (2021b),Density,Liquid,ABnYaD,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCC)[N+]1=CC=CC=C1,N-decylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
aDPpT,303.15,0.01946,101,996.96,Zhang et al. (2021b),Density,Liquid,ABnYaD,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCC)[N+]1=CC=CC=C1,N-decylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
aDPpT,303.15,0.0289,101,997.55,Zhang et al. (2021b),Density,Liquid,ABnYaD,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCC)[N+]1=CC=CC=C1,N-decylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
aDPpT,303.15,0.03894,101,998.17,Zhang et al. (2021b),Density,Liquid,ABnYaD,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCC)[N+]1=CC=CC=C1,N-decylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
aDPpT,303.15,0.04907,101,998.78,Zhang et al. (2021b),Density,Liquid,ABnYaD,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCC)[N+]1=CC=CC=C1,N-decylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
aDPpT,303.15,0.059,101,999.37,Zhang et al. (2021b),Density,Liquid,ABnYaD,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCC)[N+]1=CC=CC=C1,N-decylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
aDPpT,303.15,0.0689,101,999.95,Zhang et al. (2021b),Density,Liquid,ABnYaD,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCC)[N+]1=CC=CC=C1,N-decylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
aDPpT,303.15,0.079,101,1000.53,Zhang et al. (2021b),Density,Liquid,ABnYaD,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCC)[N+]1=CC=CC=C1,N-decylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
aDPpT,303.15,0.0893,101,1001.12,Zhang et al. (2021b),Density,Liquid,ABnYaD,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCC)[N+]1=CC=CC=C1,N-decylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
aDPpT,303.15,0.1,101,1001.73,Zhang et al. (2021b),Density,Liquid,ABnYaD,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCC)[N+]1=CC=CC=C1,N-decylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
aDPpT,308.15,0.00978,101,994.74,Zhang et al. (2021b),Density,Liquid,ABnYaD,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCC)[N+]1=CC=CC=C1,N-decylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
aDPpT,308.15,0.01946,101,995.35,Zhang et al. (2021b),Density,Liquid,ABnYaD,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCC)[N+]1=CC=CC=C1,N-decylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
aDPpT,308.15,0.0289,101,995.93,Zhang et al. (2021b),Density,Liquid,ABnYaD,C(C)(=O)NC1=CC=C(C=C1)S(=O)(=O)[N-]C(C)=O.C(CCCCCCCCC)[N+]1=CC=CC=C1,N-decylpyridinium ((4-acetamidophenyl)sulfonyl)(acetyl)amide,AADYJk,O,water,,,
