setid,"Temperature, K","Solvent: MolaLity of sodium dodecyl sulfate, mol/kg","MolaLity of octan-1-ol, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
aQTgJ,298.15,0.01,0,101,1000.97,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,298.15,0.01,0.008,101,1000.74,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,298.15,0.01,0.01,101,1000.7,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,298.15,0.01,0.012,101,1000.64,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,298.15,0.01,0.021,101,1000.4,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,298.15,0.01,0.023,101,1000.34,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,298.15,0.01,0.026,101,1000.27,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,298.15,0.01,0.033,101,1000.07,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,298.15,0.05,0,101,999.078,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,298.15,0.05,0.007,101,998.896,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,298.15,0.05,0.01,101,998.815,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,298.15,0.05,0.012,101,998.758,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,298.15,0.05,0.017,101,998.635,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,298.15,0.05,0.024,101,998.45,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,298.15,0.05,0.027,101,998.366,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,298.15,0.05,0.035,101,998.164,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,298.15,0.05,0.038,101,998.088,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,303.15,0.01,0,101,999.555,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,303.15,0.01,0.008,101,999.326,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,303.15,0.01,0.01,101,999.277,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,303.15,0.01,0.012,101,999.219,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,303.15,0.01,0.021,101,998.967,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,303.15,0.01,0.023,101,998.908,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,303.15,0.01,0.026,101,998.835,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,303.15,0.01,0.033,101,998.633,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,303.15,0.05,0,101,997.652,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,303.15,0.05,0.007,101,997.463,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,303.15,0.05,0.01,101,997.379,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
aQTgJ,303.15,0.05,0.012,101,997.32,Dubey (2011),Density,Liquid,AAZCDI,CCCCCCCCO,octan-1-ol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,AADYJk,O,water
