setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium tetrafluoroborate, mol/kg",Solvent: Weight fraction of D-sorbitol,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
akUEV,293.15,0,0.04,87,1010.3,Rezaei and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
akUEV,293.15,0,0.08,87,1028.2,Rezaei and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
akUEV,293.15,0,0.12,87,1042.5,Rezaei and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
akUEV,293.15,0.0402,0.04,87,1012.2,Rezaei and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
akUEV,293.15,0.0402,0.08,87,1030.1,Rezaei and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
akUEV,293.15,0.0403,0.12,87,1044.4,Rezaei and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
akUEV,293.15,0.081,0.04,87,1014,Rezaei and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
akUEV,293.15,0.081,0.12,87,1046.2,Rezaei and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
akUEV,293.15,0.0811,0.08,87,1031.8,Rezaei and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
akUEV,293.15,0.1214,0.04,87,1015.6,Rezaei and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
akUEV,293.15,0.1214,0.08,87,1033.5,Rezaei and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
akUEV,293.15,0.1214,0.12,87,1048,Rezaei and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
akUEV,293.15,0.1618,0.04,87,1017.3,Rezaei and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
akUEV,293.15,0.1619,0.08,87,1035.2,Rezaei and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
akUEV,293.15,0.1619,0.12,87,1049.7,Rezaei and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
akUEV,293.15,0.2017,0.04,87,1018.9,Rezaei and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
akUEV,293.15,0.2017,0.12,87,1051.2,Rezaei and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
akUEV,293.15,0.2019,0.08,87,1036.7,Rezaei and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
akUEV,293.15,0.2425,0.12,87,1052.8,Rezaei and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
akUEV,293.15,0.2427,0.04,87,1020.5,Rezaei and Rafiee (2021),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AAjBnE,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,D-sorbitol,AADYJk,O,water
