setid,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
beony,293.15,101.325,1700.8,Fang et al. (2019a),Density,Liquid,ABUFEH,CCCC[n+]1ccn(C)c1.F[Sb-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluoroantimonate,,,,,,
beony,298.15,101.325,1695.9,Fang et al. (2019a),Density,Liquid,ABUFEH,CCCC[n+]1ccn(C)c1.F[Sb-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluoroantimonate,,,,,,
beony,303.15,101.325,1689.6,Fang et al. (2019a),Density,Liquid,ABUFEH,CCCC[n+]1ccn(C)c1.F[Sb-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluoroantimonate,,,,,,
beony,308.15,101.325,1685.5,Fang et al. (2019a),Density,Liquid,ABUFEH,CCCC[n+]1ccn(C)c1.F[Sb-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluoroantimonate,,,,,,
beony,313.15,101.325,1679.6,Fang et al. (2019a),Density,Liquid,ABUFEH,CCCC[n+]1ccn(C)c1.F[Sb-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluoroantimonate,,,,,,
beony,318.15,101.325,1675.6,Fang et al. (2019a),Density,Liquid,ABUFEH,CCCC[n+]1ccn(C)c1.F[Sb-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluoroantimonate,,,,,,
beony,323.15,101.325,1669.8,Fang et al. (2019a),Density,Liquid,ABUFEH,CCCC[n+]1ccn(C)c1.F[Sb-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluoroantimonate,,,,,,
beony,328.15,101.325,1664.9,Fang et al. (2019a),Density,Liquid,ABUFEH,CCCC[n+]1ccn(C)c1.F[Sb-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluoroantimonate,,,,,,
beony,333.15,101.325,1659.8,Fang et al. (2019a),Density,Liquid,ABUFEH,CCCC[n+]1ccn(C)c1.F[Sb-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluoroantimonate,,,,,,
beony,338.15,101.325,1655.4,Fang et al. (2019a),Density,Liquid,ABUFEH,CCCC[n+]1ccn(C)c1.F[Sb-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluoroantimonate,,,,,,
beony,343.15,101.325,1652.1,Fang et al. (2019a),Density,Liquid,ABUFEH,CCCC[n+]1ccn(C)c1.F[Sb-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluoroantimonate,,,,,,
