setid,"Mole fraction of 1,2-ethanediol","Temperature, K","Pressure, kPa",Mole fraction of 1-butyl-3-methylimidazolium bromide,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
bugcY,0.0054,298.15,101,0.01,1024.79,Rodrigues and Francesconi (2011),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
bugcY,0.01,298.15,101,0.01,1026.44,Rodrigues and Francesconi (2011),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
bugcY,0.0201,298.15,101,0.01,1029.84,Rodrigues and Francesconi (2011),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
bugcY,0.04,298.15,101,0.01,1036.21,Rodrigues and Francesconi (2011),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
bugcY,0.06,298.15,101,0.01,1042.27,Rodrigues and Francesconi (2011),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
bugcY,0.08,298.15,101,0.01,1047.8,Rodrigues and Francesconi (2011),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
bugcY,0.0999,298.15,101,0.01,1052.85,Rodrigues and Francesconi (2011),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
bugcY,0.2,298.15,101,0.01,1072.91,Rodrigues and Francesconi (2011),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
bugcY,0.25,298.15,101,0.01,1080.19,Rodrigues and Francesconi (2011),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
bugcY,0.3,298.15,101,0.01,1086.1,Rodrigues and Francesconi (2011),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
bugcY,0.3505,298.15,101,0.01,1091.05,Rodrigues and Francesconi (2011),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
