setid,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
cAGCO,319.1,101.325,1303,Weiss et al. (2017),Density,Liquid,ACuGAJ,CCCCCCCCCCCCCCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-methyl-3-octadecylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,,,
cAGCO,343,101.325,1279,Weiss et al. (2017),Density,Liquid,ACuGAJ,CCCCCCCCCCCCCCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-methyl-3-octadecylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,,,
cAGCO,348.1,101.325,1274,Weiss et al. (2017),Density,Liquid,ACuGAJ,CCCCCCCCCCCCCCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-methyl-3-octadecylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,,,
cAGCO,353,101.325,1270,Weiss et al. (2017),Density,Liquid,ACuGAJ,CCCCCCCCCCCCCCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-methyl-3-octadecylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,,,
cAGCO,358.1,101.325,1265,Weiss et al. (2017),Density,Liquid,ACuGAJ,CCCCCCCCCCCCCCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-methyl-3-octadecylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,,,
cAGCO,363,101.325,1260,Weiss et al. (2017),Density,Liquid,ACuGAJ,CCCCCCCCCCCCCCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-methyl-3-octadecylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,,,
cAGCO,368.1,101.325,1255,Weiss et al. (2017),Density,Liquid,ACuGAJ,CCCCCCCCCCCCCCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-methyl-3-octadecylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,,,
cAGCO,373,101.325,1251,Weiss et al. (2017),Density,Liquid,ACuGAJ,CCCCCCCCCCCCCCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-methyl-3-octadecylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,,,
cAGCO,378.15,101.325,1246,Weiss et al. (2017),Density,Liquid,ACuGAJ,CCCCCCCCCCCCCCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-methyl-3-octadecylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,,,
cAGCO,383.1,101.325,1242,Weiss et al. (2017),Density,Liquid,ACuGAJ,CCCCCCCCCCCCCCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-methyl-3-octadecylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,,,
