setid,"Temperature, K",Mole fraction of triethyloctylammonium bis[(trifluoromethyl)sulfonyl]imide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
cWONY,283.15,0.0131,101,855.4,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABrFsY,CCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethyloctylammonium bis[(trifluoromethyl)sulfonyl]imide,,,
cWONY,283.15,0.0999,101,1043.7,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABrFsY,CCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethyloctylammonium bis[(trifluoromethyl)sulfonyl]imide,,,
cWONY,283.15,0.2004,101,1130.4,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABrFsY,CCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethyloctylammonium bis[(trifluoromethyl)sulfonyl]imide,,,
cWONY,283.15,0.3,101,1174.2,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABrFsY,CCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethyloctylammonium bis[(trifluoromethyl)sulfonyl]imide,,,
cWONY,283.15,0.4002,101,1201.3,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABrFsY,CCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethyloctylammonium bis[(trifluoromethyl)sulfonyl]imide,,,
cWONY,283.15,0.4914,101,1217.9,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABrFsY,CCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethyloctylammonium bis[(trifluoromethyl)sulfonyl]imide,,,
cWONY,283.15,0.6018,101,1232.4,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABrFsY,CCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethyloctylammonium bis[(trifluoromethyl)sulfonyl]imide,,,
cWONY,283.15,0.7009,101,1242.2,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABrFsY,CCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethyloctylammonium bis[(trifluoromethyl)sulfonyl]imide,,,
cWONY,283.15,0.7984,101,1249.6,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABrFsY,CCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethyloctylammonium bis[(trifluoromethyl)sulfonyl]imide,,,
cWONY,283.15,0.9197,101,1256.9,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABrFsY,CCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethyloctylammonium bis[(trifluoromethyl)sulfonyl]imide,,,
cWONY,288.15,0.0131,101,850.7,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABrFsY,CCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethyloctylammonium bis[(trifluoromethyl)sulfonyl]imide,,,
cWONY,288.15,0.0999,101,1039.1,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABrFsY,CCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethyloctylammonium bis[(trifluoromethyl)sulfonyl]imide,,,
cWONY,288.15,0.2004,101,1125.9,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABrFsY,CCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethyloctylammonium bis[(trifluoromethyl)sulfonyl]imide,,,
cWONY,288.15,0.3,101,1169.8,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABrFsY,CCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethyloctylammonium bis[(trifluoromethyl)sulfonyl]imide,,,
cWONY,288.15,0.4002,101,1196.9,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABrFsY,CCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethyloctylammonium bis[(trifluoromethyl)sulfonyl]imide,,,
cWONY,288.15,0.4914,101,1213.6,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABrFsY,CCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethyloctylammonium bis[(trifluoromethyl)sulfonyl]imide,,,
cWONY,288.15,0.6018,101,1228.2,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABrFsY,CCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethyloctylammonium bis[(trifluoromethyl)sulfonyl]imide,,,
cWONY,288.15,0.7009,101,1238.1,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABrFsY,CCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethyloctylammonium bis[(trifluoromethyl)sulfonyl]imide,,,
cWONY,288.15,0.7984,101,1245.3,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABrFsY,CCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethyloctylammonium bis[(trifluoromethyl)sulfonyl]imide,,,
cWONY,288.15,0.9197,101,1252.7,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABrFsY,CCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethyloctylammonium bis[(trifluoromethyl)sulfonyl]imide,,,
cWONY,293.15,0.0131,101,845.9,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABrFsY,CCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethyloctylammonium bis[(trifluoromethyl)sulfonyl]imide,,,
cWONY,293.15,0.0999,101,1034.5,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABrFsY,CCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethyloctylammonium bis[(trifluoromethyl)sulfonyl]imide,,,
cWONY,293.15,0.2004,101,1121.3,Machanova et al. (2014),Density,Liquid,AAGIBL,CO,methanol,ABrFsY,CCCCCCCC[N+](CC)(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,triethyloctylammonium bis[(trifluoromethyl)sulfonyl]imide,,,
