setid,"Temperature, K","MolaLity of 1-butyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate, mol/kg","Pressure, kPa","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
dQMGT,288.15,0.0216,100,1.881,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABJfwj,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-butyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate",,,
dQMGT,288.15,0.02818,100,2.455,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABJfwj,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-butyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate",,,
dQMGT,288.15,0.05086,100,4.416,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABJfwj,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-butyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate",,,
dQMGT,288.15,0.06272,100,5.431,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABJfwj,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-butyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate",,,
dQMGT,288.15,0.0705,100,6.099,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABJfwj,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-butyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate",,,
dQMGT,288.15,0.0811,100,7.012,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABJfwj,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-butyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate",,,
dQMGT,288.15,0.09772,100,8.414,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABJfwj,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-butyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate",,,
dQMGT,293.15,0.0216,100,1.863,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABJfwj,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-butyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate",,,
dQMGT,293.15,0.02818,100,2.431,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABJfwj,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-butyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate",,,
dQMGT,293.15,0.05086,100,4.367,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABJfwj,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-butyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate",,,
dQMGT,293.15,0.06272,100,5.365,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABJfwj,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-butyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate",,,
dQMGT,293.15,0.0705,100,6.027,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABJfwj,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-butyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate",,,
dQMGT,293.15,0.0811,100,6.928,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABJfwj,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-butyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate",,,
dQMGT,293.15,0.09772,100,8.31,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABJfwj,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-butyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate",,,
dQMGT,298.15,0.0216,100,1.841,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABJfwj,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-butyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate",,,
dQMGT,298.15,0.02818,100,2.402,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,ABJfwj,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)C(F)F,"1-butyl-3-methylimidazolium 1,1,2,2-tetrafluoroethanesulfonate",,,
