setid,Mole fraction of tetraethylammonium chloride,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
dSyVv,0.051,293.2,100,1009.2,Vilas-Boas et al. (2020),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AADYJk,O,water,,,
dSyVv,0.051,298.2,100,1007,Vilas-Boas et al. (2020),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AADYJk,O,water,,,
dSyVv,0.051,303.2,100,1004.6,Vilas-Boas et al. (2020),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AADYJk,O,water,,,
dSyVv,0.051,308.2,100,1002.2,Vilas-Boas et al. (2020),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AADYJk,O,water,,,
dSyVv,0.051,313.2,100,999.7,Vilas-Boas et al. (2020),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AADYJk,O,water,,,
dSyVv,0.051,318.2,100,997.1,Vilas-Boas et al. (2020),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AADYJk,O,water,,,
dSyVv,0.051,323.2,100,994.4,Vilas-Boas et al. (2020),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AADYJk,O,water,,,
dSyVv,0.051,328.2,100,991.6,Vilas-Boas et al. (2020),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AADYJk,O,water,,,
dSyVv,0.051,333.2,100,988.7,Vilas-Boas et al. (2020),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AADYJk,O,water,,,
dSyVv,0.051,338.2,100,985.8,Vilas-Boas et al. (2020),Density,Liquid,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,AADYJk,O,water,,,
