setid,Solvent: Weight fraction of acetone,Mole ratio to solvent: tetraphenylphosphonium chloride,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
dahDn,0,0,298.15,101.325,997.049,Kawaizumi et al. (1988),Density,Liquid,AALIPU,CC(C)=O,acetone,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
dahDn,0,0.02242,298.15,101.325,998.49,Kawaizumi et al. (1988),Density,Liquid,AALIPU,CC(C)=O,acetone,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
dahDn,0,0.05443,298.15,101.325,1000.51,Kawaizumi et al. (1988),Density,Liquid,AALIPU,CC(C)=O,acetone,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
dahDn,0,0.07913,298.15,101.325,1002.06,Kawaizumi et al. (1988),Density,Liquid,AALIPU,CC(C)=O,acetone,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
dahDn,0,0.10968,298.15,101.325,1003.95,Kawaizumi et al. (1988),Density,Liquid,AALIPU,CC(C)=O,acetone,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
dahDn,0.1,0,298.15,101.325,983.281,Kawaizumi et al. (1988),Density,Liquid,AALIPU,CC(C)=O,acetone,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
dahDn,0.1,0.02826,298.15,101.325,985.07,Kawaizumi et al. (1988),Density,Liquid,AALIPU,CC(C)=O,acetone,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
dahDn,0.1,0.05341,298.15,101.325,986.84,Kawaizumi et al. (1988),Density,Liquid,AALIPU,CC(C)=O,acetone,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
dahDn,0.1,0.08536,298.15,101.325,988.85,Kawaizumi et al. (1988),Density,Liquid,AALIPU,CC(C)=O,acetone,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
dahDn,0.1,0.10467,298.15,101.325,990.31,Kawaizumi et al. (1988),Density,Liquid,AALIPU,CC(C)=O,acetone,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
