setid,"Temperature, K",Mole fraction of 1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
eERAL,293.15,0,100,1129.5,Papovic et al. (2016c),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
eERAL,293.15,0.0486,100,1168,Papovic et al. (2016c),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
eERAL,293.15,0.1001,100,1197.8,Papovic et al. (2016c),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
eERAL,293.15,0.1497,100,1219.5,Papovic et al. (2016c),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
eERAL,293.15,0.2006,100,1237.1,Papovic et al. (2016c),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
eERAL,293.15,0.3037,100,1263,Papovic et al. (2016c),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
eERAL,293.15,0.394,100,1279,Papovic et al. (2016c),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
eERAL,293.15,0.4952,100,1292,Papovic et al. (2016c),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
eERAL,293.15,0.586,100,1301,Papovic et al. (2016c),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
eERAL,293.15,0.7007,100,1310,Papovic et al. (2016c),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
eERAL,293.15,0.8081,100,1316,Papovic et al. (2016c),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
eERAL,293.15,0.9003,100,1321,Papovic et al. (2016c),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
eERAL,293.15,1,100,1325,Papovic et al. (2016c),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
eERAL,298.15,0,100,1124.6,Papovic et al. (2016c),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
eERAL,298.15,0.0486,100,1163.2,Papovic et al. (2016c),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
eERAL,298.15,0.1001,100,1193.1,Papovic et al. (2016c),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
eERAL,298.15,0.1497,100,1215,Papovic et al. (2016c),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
eERAL,298.15,0.2006,100,1232.5,Papovic et al. (2016c),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
eERAL,298.15,0.3037,100,1258,Papovic et al. (2016c),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
eERAL,298.15,0.394,100,1274,Papovic et al. (2016c),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
eERAL,298.15,0.4952,100,1288,Papovic et al. (2016c),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
eERAL,298.15,0.586,100,1297,Papovic et al. (2016c),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
eERAL,298.15,0.7007,100,1306,Papovic et al. (2016c),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
eERAL,298.15,0.8081,100,1312,Papovic et al. (2016c),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
eERAL,298.15,0.9003,100,1317,Papovic et al. (2016c),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABnWNT,CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-methyl-3-octylimidazolium bis(trifluoromethylsulfonyl)imide,,,
