setid,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
eIstS,288.15,101.325,1067.3,Krolikowska et al. (2013a),Density,Liquid,ABFoUI,CCCCCCCC[n+]1ccc2ccccc2c1.N#C[S-],2-octylisoquinolinium thiocyanate,,,,,,
eIstS,293.15,101.325,1064.4,Krolikowska et al. (2013a),Density,Liquid,ABFoUI,CCCCCCCC[n+]1ccc2ccccc2c1.N#C[S-],2-octylisoquinolinium thiocyanate,,,,,,
eIstS,298.15,101.325,1061.7,Krolikowska et al. (2013a),Density,Liquid,ABFoUI,CCCCCCCC[n+]1ccc2ccccc2c1.N#C[S-],2-octylisoquinolinium thiocyanate,,,,,,
eIstS,303.15,101.325,1058.8,Krolikowska et al. (2013a),Density,Liquid,ABFoUI,CCCCCCCC[n+]1ccc2ccccc2c1.N#C[S-],2-octylisoquinolinium thiocyanate,,,,,,
eIstS,308.15,101.325,1056,Krolikowska et al. (2013a),Density,Liquid,ABFoUI,CCCCCCCC[n+]1ccc2ccccc2c1.N#C[S-],2-octylisoquinolinium thiocyanate,,,,,,
eIstS,313.15,101.325,1053.1,Krolikowska et al. (2013a),Density,Liquid,ABFoUI,CCCCCCCC[n+]1ccc2ccccc2c1.N#C[S-],2-octylisoquinolinium thiocyanate,,,,,,
eIstS,318.15,101.325,1050.3,Krolikowska et al. (2013a),Density,Liquid,ABFoUI,CCCCCCCC[n+]1ccc2ccccc2c1.N#C[S-],2-octylisoquinolinium thiocyanate,,,,,,
eIstS,323.15,101.325,1047.4,Krolikowska et al. (2013a),Density,Liquid,ABFoUI,CCCCCCCC[n+]1ccc2ccccc2c1.N#C[S-],2-octylisoquinolinium thiocyanate,,,,,,
eIstS,328.15,101.325,1044.6,Krolikowska et al. (2013a),Density,Liquid,ABFoUI,CCCCCCCC[n+]1ccc2ccccc2c1.N#C[S-],2-octylisoquinolinium thiocyanate,,,,,,
eIstS,333.15,101.325,1041.7,Krolikowska et al. (2013a),Density,Liquid,ABFoUI,CCCCCCCC[n+]1ccc2ccccc2c1.N#C[S-],2-octylisoquinolinium thiocyanate,,,,,,
eIstS,338.15,101.325,1038.9,Krolikowska et al. (2013a),Density,Liquid,ABFoUI,CCCCCCCC[n+]1ccc2ccccc2c1.N#C[S-],2-octylisoquinolinium thiocyanate,,,,,,
eIstS,343.15,101.325,1036.2,Krolikowska et al. (2013a),Density,Liquid,ABFoUI,CCCCCCCC[n+]1ccc2ccccc2c1.N#C[S-],2-octylisoquinolinium thiocyanate,,,,,,
eIstS,348.15,101.325,1033.5,Krolikowska et al. (2013a),Density,Liquid,ABFoUI,CCCCCCCC[n+]1ccc2ccccc2c1.N#C[S-],2-octylisoquinolinium thiocyanate,,,,,,
