setid,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
egLmU,101,272.74,1741.5,Souckova et al. (2012a),Density,Liquid,ACCxcQ,CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,,,
egLmU,101,279.66,1732.8,Souckova et al. (2012a),Density,Liquid,ACCxcQ,CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,,,
egLmU,101,283.27,1728.2,Souckova et al. (2012a),Density,Liquid,ACCxcQ,CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,,,
egLmU,101,288.24,1721.7,Souckova et al. (2012a),Density,Liquid,ACCxcQ,CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,,,
egLmU,101,293.09,1715.67,Souckova et al. (2012a),Density,Liquid,ACCxcQ,CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,,,
egLmU,101,298.16,1709.32,Souckova et al. (2012a),Density,Liquid,ACCxcQ,CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,,,
egLmU,101,303,1702.84,Souckova et al. (2012a),Density,Liquid,ACCxcQ,CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,,,
egLmU,101,307.97,1697.69,Souckova et al. (2012a),Density,Liquid,ACCxcQ,CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,,,
egLmU,101,313.09,1691.45,Souckova et al. (2012a),Density,Liquid,ACCxcQ,CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,,,
egLmU,101,318.01,1685.46,Souckova et al. (2012a),Density,Liquid,ACCxcQ,CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,,,
egLmU,101,322.91,1679.6,Souckova et al. (2012a),Density,Liquid,ACCxcQ,CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,,,
egLmU,101,328.34,1673.09,Souckova et al. (2012a),Density,Liquid,ACCxcQ,CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,,,
egLmU,101,333.07,1667.22,Souckova et al. (2012a),Density,Liquid,ACCxcQ,CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,,,
egLmU,101,337.37,1662.34,Souckova et al. (2012a),Density,Liquid,ACCxcQ,CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,,,
egLmU,101,342.64,1656.07,Souckova et al. (2012a),Density,Liquid,ACCxcQ,CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,,,
egLmU,101,347.29,1650.3,Souckova et al. (2012a),Density,Liquid,ACCxcQ,CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,,,
egLmU,101,353.64,1643.05,Souckova et al. (2012a),Density,Liquid,ACCxcQ,CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,1-ethyl-3-methylimidazolium tris(pentafluoroethyl)trifluorophosphate,,,,,,
