setid,"Temperature, K","MolaLity of N,N'-bis(2-hydroxybenzylidene)-1,3-propanediamine, mol/kg","Pressure, kPa","Solvent: MolaLity of 1-pentyl-3-methylimidazolium bromide, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
eynEG,308.15,0.0472,101,0.03,938.79,Shekaari et al. (2012f),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABCPZN,Oc1ccccc1C=NCCCN=Cc1ccccc1O,"N,N'-bis(2-hydroxybenzylidene)-1,3-propanediamine",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
eynEG,308.15,0.0657,101,0.03,939.6,Shekaari et al. (2012f),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABCPZN,Oc1ccccc1C=NCCCN=Cc1ccccc1O,"N,N'-bis(2-hydroxybenzylidene)-1,3-propanediamine",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
eynEG,308.15,0.0879,101,0.03,940.57,Shekaari et al. (2012f),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABCPZN,Oc1ccccc1C=NCCCN=Cc1ccccc1O,"N,N'-bis(2-hydroxybenzylidene)-1,3-propanediamine",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
eynEG,308.15,0.1036,101,0.03,941.25,Shekaari et al. (2012f),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABCPZN,Oc1ccccc1C=NCCCN=Cc1ccccc1O,"N,N'-bis(2-hydroxybenzylidene)-1,3-propanediamine",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
eynEG,308.15,0.1224,101,0.03,942.08,Shekaari et al. (2012f),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABCPZN,Oc1ccccc1C=NCCCN=Cc1ccccc1O,"N,N'-bis(2-hydroxybenzylidene)-1,3-propanediamine",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
eynEG,308.15,0.1427,101,0.03,942.95,Shekaari et al. (2012f),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABCPZN,Oc1ccccc1C=NCCCN=Cc1ccccc1O,"N,N'-bis(2-hydroxybenzylidene)-1,3-propanediamine",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
eynEG,308.15,0.1595,101,0.03,943.67,Shekaari et al. (2012f),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABCPZN,Oc1ccccc1C=NCCCN=Cc1ccccc1O,"N,N'-bis(2-hydroxybenzylidene)-1,3-propanediamine",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
eynEG,308.15,0.175,101,0.03,944.35,Shekaari et al. (2012f),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABCPZN,Oc1ccccc1C=NCCCN=Cc1ccccc1O,"N,N'-bis(2-hydroxybenzylidene)-1,3-propanediamine",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
eynEG,318.15,0.0472,101,0.03,929.23,Shekaari et al. (2012f),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABCPZN,Oc1ccccc1C=NCCCN=Cc1ccccc1O,"N,N'-bis(2-hydroxybenzylidene)-1,3-propanediamine",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
eynEG,318.15,0.0657,101,0.03,930.06,Shekaari et al. (2012f),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABCPZN,Oc1ccccc1C=NCCCN=Cc1ccccc1O,"N,N'-bis(2-hydroxybenzylidene)-1,3-propanediamine",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
eynEG,318.15,0.0879,101,0.03,931.04,Shekaari et al. (2012f),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABCPZN,Oc1ccccc1C=NCCCN=Cc1ccccc1O,"N,N'-bis(2-hydroxybenzylidene)-1,3-propanediamine",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
eynEG,318.15,0.1036,101,0.03,931.74,Shekaari et al. (2012f),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABCPZN,Oc1ccccc1C=NCCCN=Cc1ccccc1O,"N,N'-bis(2-hydroxybenzylidene)-1,3-propanediamine",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
