setid,"Solvent: MolaLity of N,N,N-trimethyl-1-hexadecanaminium bromide, mol/kg","Temperature, K","MolaLity of octan-1-ol, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
fIrVm,0.05,298.15,0,101,997.286,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.05,298.15,0.005,101,997.121,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.05,298.15,0.0086,101,997.001,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.05,298.15,0.0099,101,996.957,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.05,298.15,0.0125,101,996.869,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.05,298.15,0.0156,101,996.764,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.05,298.15,0.0185,101,996.665,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.05,298.15,0.0211,101,996.577,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.05,298.15,0.0234,101,996.496,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.05,298.15,0.0261,101,996.403,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.05,303.15,0,101,995.84,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.05,303.15,0.005,101,995.67,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.05,303.15,0.0086,101,995.546,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.05,303.15,0.0099,101,995.501,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.05,303.15,0.0125,101,995.41,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.05,303.15,0.0156,101,995.301,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.05,303.15,0.0185,101,995.199,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.05,303.15,0.0211,101,995.105,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.05,303.15,0.0234,101,995.023,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.05,303.15,0.0261,101,994.924,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.05,308.15,0,101,994.169,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.05,308.15,0.005,101,993.994,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.05,308.15,0.0086,101,993.867,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.05,308.15,0.0099,101,993.82,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.05,308.15,0.0125,101,993.727,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.05,308.15,0.0156,101,993.615,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.05,308.15,0.0185,101,993.509,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.05,308.15,0.0211,101,993.413,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.05,308.15,0.0234,101,993.329,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.05,308.15,0.0261,101,993.23,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.1,298.15,0,101,997.527,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.1,298.15,0.003,101,997.426,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.1,298.15,0.006,101,997.304,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.1,298.15,0.0085,101,997.239,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.1,298.15,0.0124,101,997.104,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.1,298.15,0.0157,101,996.99,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.1,298.15,0.0187,101,996.885,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.1,298.15,0.0232,101,996.724,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.1,298.15,0.0264,101,996.609,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.1,303.15,0,101,996.045,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.1,303.15,0.003,101,995.941,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.1,303.15,0.006,101,995.814,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.1,303.15,0.0085,101,995.746,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.1,303.15,0.0124,101,995.606,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.1,303.15,0.0157,101,995.487,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.1,303.15,0.0187,101,995.378,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.1,303.15,0.0232,101,995.212,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.1,303.15,0.0264,101,995.092,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.1,308.15,0,101,994.317,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.1,308.15,0.003,101,994.209,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.1,308.15,0.006,101,994.078,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.1,308.15,0.0085,101,994.008,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.1,308.15,0.0124,101,993.864,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.1,308.15,0.0157,101,993.742,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.1,308.15,0.0187,101,993.628,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.1,308.15,0.0232,101,993.456,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
fIrVm,0.1,308.15,0.0264,101,993.33,Dubey (2013),Density,Liquid,ABSElq,CCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-hexadecanaminium bromide",AAZCDI,CCCCCCCCO,octan-1-ol,AADYJk,O,water
