setid,"Temperature, K",Mole fraction of 1-methyl-3-octylimidazolium tetrafluoroborate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
fJLdo,298.15,0,101,733.3,Malek et al. (2014a),Density,Liquid,AAODWt,CCCCN,1-butanamine,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
fJLdo,298.15,0.0963,101,817.1,Malek et al. (2014a),Density,Liquid,AAODWt,CCCCN,1-butanamine,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
fJLdo,298.15,0.1917,101,880.04,Malek et al. (2014a),Density,Liquid,AAODWt,CCCCN,1-butanamine,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
fJLdo,298.15,0.2948,101,932.2,Malek et al. (2014a),Density,Liquid,AAODWt,CCCCN,1-butanamine,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
fJLdo,298.15,0.3866,101,968.66,Malek et al. (2014a),Density,Liquid,AAODWt,CCCCN,1-butanamine,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
fJLdo,298.15,0.49,101,1001.63,Malek et al. (2014a),Density,Liquid,AAODWt,CCCCN,1-butanamine,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
fJLdo,298.15,0.5895,101,1027.36,Malek et al. (2014a),Density,Liquid,AAODWt,CCCCN,1-butanamine,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
fJLdo,298.15,0.7124,101,1053.43,Malek et al. (2014a),Density,Liquid,AAODWt,CCCCN,1-butanamine,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
fJLdo,298.15,0.7925,101,1067.91,Malek et al. (2014a),Density,Liquid,AAODWt,CCCCN,1-butanamine,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
fJLdo,298.15,0.8843,101,1082.31,Malek et al. (2014a),Density,Liquid,AAODWt,CCCCN,1-butanamine,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
