setid,Weight fraction of water,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
fQKSg,0.003,298.15,100,955.6,Yoo et al. (2013a),Density,Liquid,ACjXLu,CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1,tributyltetradecylphosphonium 4-dodecylbenzenesulfonate,AADYJk,O,water,,,
fQKSg,0.003,303.15,100,952.5,Yoo et al. (2013a),Density,Liquid,ACjXLu,CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1,tributyltetradecylphosphonium 4-dodecylbenzenesulfonate,AADYJk,O,water,,,
fQKSg,0.003,313.15,100,942.8,Yoo et al. (2013a),Density,Liquid,ACjXLu,CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1,tributyltetradecylphosphonium 4-dodecylbenzenesulfonate,AADYJk,O,water,,,
fQKSg,0.003,323.15,100,936.6,Yoo et al. (2013a),Density,Liquid,ACjXLu,CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1,tributyltetradecylphosphonium 4-dodecylbenzenesulfonate,AADYJk,O,water,,,
fQKSg,0.003,333.15,100,930.4,Yoo et al. (2013a),Density,Liquid,ACjXLu,CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1,tributyltetradecylphosphonium 4-dodecylbenzenesulfonate,AADYJk,O,water,,,
fQKSg,0.003,343.15,100,924.3,Yoo et al. (2013a),Density,Liquid,ACjXLu,CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1,tributyltetradecylphosphonium 4-dodecylbenzenesulfonate,AADYJk,O,water,,,
fQKSg,0.003,353.15,100,918.3,Yoo et al. (2013a),Density,Liquid,ACjXLu,CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1,tributyltetradecylphosphonium 4-dodecylbenzenesulfonate,AADYJk,O,water,,,
fQKSg,0.045,298.15,100,953.3,Yoo et al. (2013a),Density,Liquid,ACjXLu,CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1,tributyltetradecylphosphonium 4-dodecylbenzenesulfonate,AADYJk,O,water,,,
fQKSg,0.045,303.15,100,950,Yoo et al. (2013a),Density,Liquid,ACjXLu,CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1,tributyltetradecylphosphonium 4-dodecylbenzenesulfonate,AADYJk,O,water,,,
fQKSg,0.045,313.15,100,943.4,Yoo et al. (2013a),Density,Liquid,ACjXLu,CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1,tributyltetradecylphosphonium 4-dodecylbenzenesulfonate,AADYJk,O,water,,,
fQKSg,0.045,323.15,100,936.9,Yoo et al. (2013a),Density,Liquid,ACjXLu,CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1,tributyltetradecylphosphonium 4-dodecylbenzenesulfonate,AADYJk,O,water,,,
fQKSg,0.045,333.15,100,930.4,Yoo et al. (2013a),Density,Liquid,ACjXLu,CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1,tributyltetradecylphosphonium 4-dodecylbenzenesulfonate,AADYJk,O,water,,,
fQKSg,0.045,343.15,100,923.8,Yoo et al. (2013a),Density,Liquid,ACjXLu,CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1,tributyltetradecylphosphonium 4-dodecylbenzenesulfonate,AADYJk,O,water,,,
fQKSg,0.045,353.15,100,917.2,Yoo et al. (2013a),Density,Liquid,ACjXLu,CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC.CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1,tributyltetradecylphosphonium 4-dodecylbenzenesulfonate,AADYJk,O,water,,,
