setid,Mole fraction of 1-methyl-3-octylimidazolium chloride,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
fTWZT,0,303.15,97.6,1090.3,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0,308.15,97.6,1085.3,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0,313.15,97.6,1080.3,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0,318.15,97.6,1075.3,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0,323.15,97.6,1070.3,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0,328.15,97.6,1065.3,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0,333.15,97.6,1060.3,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0,338.15,97.6,1055.3,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0,343.15,97.6,1050.3,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0,348.15,97.6,1045.3,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0,353.15,97.6,1040.3,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0.13,303.15,97.6,1067.9,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0.13,308.15,97.6,1063.7,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0.13,313.15,97.6,1059.5,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0.13,318.15,97.6,1055.4,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0.13,323.15,97.6,1051.3,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
fTWZT,0.13,328.15,97.6,1047.1,Yang et al. (2017a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
