setid,"Temperature, K","MolaLity of benzylmethylammonium hexanoate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
gGZmn,293.15,0,101.3,1100.41,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,293.15,0.08525,101.3,1097.21,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,293.15,0.17086,101.3,1094.43,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,293.15,0.26383,101.3,1091.57,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,293.15,0.32531,101.3,1089.68,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,293.15,0.42572,101.3,1086.96,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,293.15,0.50888,101.3,1084.82,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,293.15,0.58316,101.3,1083.01,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,293.15,0.66053,101.3,1081.2,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,298.15,0,101.3,1095.39,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,298.15,0.08525,101.3,1092.19,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,298.15,0.17086,101.3,1089.39,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,298.15,0.26383,101.3,1086.52,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,298.15,0.32531,101.3,1084.62,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,298.15,0.42572,101.3,1081.9,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,298.15,0.50888,101.3,1079.74,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,298.15,0.58316,101.3,1077.94,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,298.15,0.66053,101.3,1076.13,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,303.15,0,101.3,1090.37,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,303.15,0.08525,101.3,1087.18,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
gGZmn,303.15,0.17086,101.3,1084.35,Keshapolla and Gardas (2014),Density,Liquid,AAqxhf,CCCCCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium hexanoate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
