setid,Mole fraction of toluene,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
gRTXc,0,101,283.15,1534.04,Gonzalez et al. (2015c),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
gRTXc,0.047,101,283.15,1521.8,Gonzalez et al. (2015c),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
gRTXc,0.0991,101,283.15,1507.5,Gonzalez et al. (2015c),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
gRTXc,0.1988,101,283.15,1477.19,Gonzalez et al. (2015c),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
gRTXc,0.2953,101,283.15,1443.83,Gonzalez et al. (2015c),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
gRTXc,0.3983,101,283.15,1402.57,Gonzalez et al. (2015c),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
gRTXc,0.5018,101,283.15,1353.02,Gonzalez et al. (2015c),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
gRTXc,0.5968,101,283.15,1298.06,Gonzalez et al. (2015c),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
gRTXc,0.6192,101,283.15,1283.43,Gonzalez et al. (2015c),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
gRTXc,0.6326,101,283.15,1274.52,Gonzalez et al. (2015c),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
gRTXc,1,101,283.15,876.1,Gonzalez et al. (2015c),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
