setid,"Moles per mass of solution: tetrabutylammonium perchlorate, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
gpjbT,0,298.15,101,1095.33,Bobicz and Grzybkowski (2002),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
gpjbT,0.02044,298.15,101,1095.01,Bobicz and Grzybkowski (2002),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
gpjbT,0.03036,298.15,101,1094.84,Bobicz and Grzybkowski (2002),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
gpjbT,0.04052,298.15,101,1094.65,Bobicz and Grzybkowski (2002),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
gpjbT,0.0496,298.15,101,1094.49,Bobicz and Grzybkowski (2002),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
gpjbT,0.06886,298.15,101,1094.15,Bobicz and Grzybkowski (2002),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
gpjbT,0.08476,298.15,101,1093.86,Bobicz and Grzybkowski (2002),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
gpjbT,0.09858,298.15,101,1093.61,Bobicz and Grzybkowski (2002),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
gpjbT,0.1334,298.15,101,1092.99,Bobicz and Grzybkowski (2002),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
gpjbT,0.1481,298.15,101,1092.74,Bobicz and Grzybkowski (2002),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
gpjbT,0.1881,298.15,101,1092.01,Bobicz and Grzybkowski (2002),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,,,
