setid,"Temperature, K","Mole fraction of 1,1,3,3-tetramethylguanidinium imidazol-1-ide","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
htEVD,293.15,0,100,791.35,Chen et al. (2015c),Density,Liquid,AAGIBL,CO,methanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
htEVD,293.15,0.0501,100,840.28,Chen et al. (2015c),Density,Liquid,AAGIBL,CO,methanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
htEVD,293.15,0.1005,100,872.86,Chen et al. (2015c),Density,Liquid,AAGIBL,CO,methanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
htEVD,293.15,0.1957,100,912.69,Chen et al. (2015c),Density,Liquid,AAGIBL,CO,methanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
htEVD,293.15,0.2953,100,938.06,Chen et al. (2015c),Density,Liquid,AAGIBL,CO,methanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
htEVD,293.15,0.393,100,954.84,Chen et al. (2015c),Density,Liquid,AAGIBL,CO,methanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
htEVD,293.15,0.5005,100,968.24,Chen et al. (2015c),Density,Liquid,AAGIBL,CO,methanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
htEVD,293.15,0.6431,100,980.21,Chen et al. (2015c),Density,Liquid,AAGIBL,CO,methanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
htEVD,293.15,0.7815,100,988.47,Chen et al. (2015c),Density,Liquid,AAGIBL,CO,methanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
htEVD,293.15,0.8994,100,993.77,Chen et al. (2015c),Density,Liquid,AAGIBL,CO,methanol,AAjMIW,CN(C)C(=[NH2+])N(C)C.c1c[n-]cn1,"1,1,3,3-tetramethylguanidinium imidazol-1-ide",,,
