setid,Mole fraction of benzene,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
jUsKs,0,283.15,100,1263,Requejo et al. (2017),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,
jUsKs,0.047,283.15,100,1258,Requejo et al. (2017),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,
jUsKs,0.095,283.15,100,1251,Requejo et al. (2017),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,
jUsKs,0.199,283.15,100,1236,Requejo et al. (2017),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,
jUsKs,0.293,283.15,100,1219,Requejo et al. (2017),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,
jUsKs,0.405,283.15,100,1196,Requejo et al. (2017),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,
jUsKs,0.503,283.15,100,1171,Requejo et al. (2017),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,
jUsKs,0.601,283.15,100,1140,Requejo et al. (2017),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,
jUsKs,0.644,283.15,100,1125,Requejo et al. (2017),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,
jUsKs,0.675,283.15,100,1112,Requejo et al. (2017),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,
jUsKs,0.701,283.15,100,1101,Requejo et al. (2017),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,
jUsKs,0.718,283.15,100,1094,Requejo et al. (2017),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,
jUsKs,0.738,283.15,100,1085,Requejo et al. (2017),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,
