setid,"Temperature, K",Mole fraction of butylammonium acetate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
jaAVG,293.15,0.0302,101.3,814.76,Xu et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,
jaAVG,293.15,0.0597,101.3,832.65,Xu et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,
jaAVG,293.15,0.1011,101.3,852.44,Xu et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,
jaAVG,293.15,0.1992,101.3,884.85,Xu et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,
jaAVG,293.15,0.301,101.3,906.27,Xu et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,
jaAVG,293.15,0.4023,101.3,920.99,Xu et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,
jaAVG,293.15,0.4995,101.3,931.42,Xu et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,
jaAVG,293.15,0.6524,101.3,943.29,Xu et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,
jaAVG,293.15,0.7993,101.3,951.52,Xu et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,
jaAVG,293.15,0.8988,101.3,955.88,Xu et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,
jaAVG,298.15,0.0302,101.3,810.3,Xu et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,
jaAVG,298.15,0.0597,101.3,828.3,Xu et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,
jaAVG,298.15,0.1011,101.3,848.33,Xu et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,
jaAVG,298.15,0.1992,101.3,881.05,Xu et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,
jaAVG,298.15,0.301,101.3,902.66,Xu et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,
jaAVG,298.15,0.4023,101.3,917.52,Xu et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,
jaAVG,298.15,0.4995,101.3,928.03,Xu et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,
jaAVG,298.15,0.6524,101.3,940,Xu et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,
jaAVG,298.15,0.7993,101.3,948.31,Xu et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,
jaAVG,298.15,0.8988,101.3,952.69,Xu et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,
jaAVG,303.15,0.0302,101.3,805.81,Xu et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,
jaAVG,303.15,0.0597,101.3,823.98,Xu et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,
jaAVG,303.15,0.1011,101.3,844.2,Xu et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,
jaAVG,303.15,0.1992,101.3,877.23,Xu et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,
jaAVG,303.15,0.301,101.3,899.04,Xu et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,
jaAVG,303.15,0.4023,101.3,914.03,Xu et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,
jaAVG,303.15,0.4995,101.3,924.64,Xu et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,
jaAVG,303.15,0.6524,101.3,936.69,Xu et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,
jaAVG,303.15,0.7993,101.3,945.07,Xu et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,
jaAVG,303.15,0.8988,101.3,949.49,Xu et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,
jaAVG,308.15,0.0302,101.3,801.29,Xu et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,
jaAVG,308.15,0.0597,101.3,819.63,Xu et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,
jaAVG,308.15,0.1011,101.3,840.05,Xu et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,
jaAVG,308.15,0.1992,101.3,873.38,Xu et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,
jaAVG,308.15,0.301,101.3,895.45,Xu et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,
jaAVG,308.15,0.4023,101.3,910.53,Xu et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,
jaAVG,308.15,0.4995,101.3,921.23,Xu et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,
jaAVG,308.15,0.6524,101.3,933.39,Xu et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,
jaAVG,308.15,0.7993,101.3,941.83,Xu et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,
jaAVG,308.15,0.8988,101.3,946.3,Xu et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,
jaAVG,313.15,0.0302,101.3,796.74,Xu et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,
jaAVG,313.15,0.0597,101.3,815.28,Xu et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,
jaAVG,313.15,0.1011,101.3,835.89,Xu et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,
jaAVG,313.15,0.1992,101.3,869.54,Xu et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,
jaAVG,313.15,0.301,101.3,891.77,Xu et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,
jaAVG,313.15,0.4023,101.3,907.04,Xu et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,
jaAVG,313.15,0.4995,101.3,917.83,Xu et al. (2012b),Density,Liquid,AAGIBL,CO,methanol,AAZfnG,CC(=O)[O-].CCCC[NH3+],butylammonium acetate,,,
