setid,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
jgoKH,297.72,101.325,1187,Iwasaki et al. (2018),Density,Liquid,ABGFcK,CCCCn1cc[n+](C)c1.Fc1cccc([B-](F)(F)F)c1,1-butyl-3-methyl-1H-imidazol-3-ium trifluoro(3-fluorophenyl)borate,,,,,,
jgoKH,302.85,101.325,1182.5,Iwasaki et al. (2018),Density,Liquid,ABGFcK,CCCCn1cc[n+](C)c1.Fc1cccc([B-](F)(F)F)c1,1-butyl-3-methyl-1H-imidazol-3-ium trifluoro(3-fluorophenyl)borate,,,,,,
jgoKH,308.2,101.325,1179.3,Iwasaki et al. (2018),Density,Liquid,ABGFcK,CCCCn1cc[n+](C)c1.Fc1cccc([B-](F)(F)F)c1,1-butyl-3-methyl-1H-imidazol-3-ium trifluoro(3-fluorophenyl)borate,,,,,,
jgoKH,313.14,101.325,1176.5,Iwasaki et al. (2018),Density,Liquid,ABGFcK,CCCCn1cc[n+](C)c1.Fc1cccc([B-](F)(F)F)c1,1-butyl-3-methyl-1H-imidazol-3-ium trifluoro(3-fluorophenyl)borate,,,,,,
jgoKH,318.29,101.325,1172.4,Iwasaki et al. (2018),Density,Liquid,ABGFcK,CCCCn1cc[n+](C)c1.Fc1cccc([B-](F)(F)F)c1,1-butyl-3-methyl-1H-imidazol-3-ium trifluoro(3-fluorophenyl)borate,,,,,,
jgoKH,323.22,101.325,1169.2,Iwasaki et al. (2018),Density,Liquid,ABGFcK,CCCCn1cc[n+](C)c1.Fc1cccc([B-](F)(F)F)c1,1-butyl-3-methyl-1H-imidazol-3-ium trifluoro(3-fluorophenyl)borate,,,,,,
jgoKH,328.17,101.325,1165.1,Iwasaki et al. (2018),Density,Liquid,ABGFcK,CCCCn1cc[n+](C)c1.Fc1cccc([B-](F)(F)F)c1,1-butyl-3-methyl-1H-imidazol-3-ium trifluoro(3-fluorophenyl)borate,,,,,,
jgoKH,333.5,101.325,1161.4,Iwasaki et al. (2018),Density,Liquid,ABGFcK,CCCCn1cc[n+](C)c1.Fc1cccc([B-](F)(F)F)c1,1-butyl-3-methyl-1H-imidazol-3-ium trifluoro(3-fluorophenyl)borate,,,,,,
jgoKH,338.26,101.325,1158.7,Iwasaki et al. (2018),Density,Liquid,ABGFcK,CCCCn1cc[n+](C)c1.Fc1cccc([B-](F)(F)F)c1,1-butyl-3-methyl-1H-imidazol-3-ium trifluoro(3-fluorophenyl)borate,,,,,,
jgoKH,343.39,101.325,1155.1,Iwasaki et al. (2018),Density,Liquid,ABGFcK,CCCCn1cc[n+](C)c1.Fc1cccc([B-](F)(F)F)c1,1-butyl-3-methyl-1H-imidazol-3-ium trifluoro(3-fluorophenyl)borate,,,,,,
jgoKH,348.14,101.325,1152.3,Iwasaki et al. (2018),Density,Liquid,ABGFcK,CCCCn1cc[n+](C)c1.Fc1cccc([B-](F)(F)F)c1,1-butyl-3-methyl-1H-imidazol-3-ium trifluoro(3-fluorophenyl)borate,,,,,,
jgoKH,353.48,101.325,1148.7,Iwasaki et al. (2018),Density,Liquid,ABGFcK,CCCCn1cc[n+](C)c1.Fc1cccc([B-](F)(F)F)c1,1-butyl-3-methyl-1H-imidazol-3-ium trifluoro(3-fluorophenyl)borate,,,,,,
