setid,"Temperature, K","MolaLity of 1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kHDMb,288.15,0,101,787.4,Majdan-Cegincara et al. (2015),Density,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,
kHDMb,288.15,0.02029,101,789.5,Majdan-Cegincara et al. (2015),Density,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,
kHDMb,288.15,0.02813,101,790.3,Majdan-Cegincara et al. (2015),Density,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,
kHDMb,288.15,0.03922,101,791.3,Majdan-Cegincara et al. (2015),Density,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,
kHDMb,288.15,0.04982,101,792.4,Majdan-Cegincara et al. (2015),Density,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,
kHDMb,288.15,0.05957,101,793.3,Majdan-Cegincara et al. (2015),Density,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,
kHDMb,288.15,0.06919,101,794.2,Majdan-Cegincara et al. (2015),Density,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,
kHDMb,288.15,0.07996,101,795.2,Majdan-Cegincara et al. (2015),Density,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,
kHDMb,288.15,0.09008,101,796.2,Majdan-Cegincara et al. (2015),Density,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,
kHDMb,288.15,0.10106,101,797.2,Majdan-Cegincara et al. (2015),Density,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,
kHDMb,288.15,0.23711,101,809.5,Majdan-Cegincara et al. (2015),Density,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,
kHDMb,288.15,0.40597,101,823.8,Majdan-Cegincara et al. (2015),Density,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,
kHDMb,288.15,0.60891,101,839.9,Majdan-Cegincara et al. (2015),Density,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,
kHDMb,293.15,0,101,782,Majdan-Cegincara et al. (2015),Density,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,
kHDMb,293.15,0.02029,101,784.1,Majdan-Cegincara et al. (2015),Density,Liquid,AAHueB,CC#N,acetonitrile,ABEBwg,CCCC[N+]1(C)CCCC1.O=S(=O)([O-])C(F)(F)F,1-butyl-1-methylpyrrolidinium trifluoromethanesulfonate,,,
