setid,"Temperature, K","Mole fraction of methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kyjzU,298.15,0.0736,101,919,Sibiya and Deenadayalu (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
kyjzU,298.15,0.1146,101,956,Sibiya and Deenadayalu (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
kyjzU,298.15,0.2152,101,1011,Sibiya and Deenadayalu (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
kyjzU,298.15,0.3303,101,1045,Sibiya and Deenadayalu (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
kyjzU,298.15,0.4033,101,1059,Sibiya and Deenadayalu (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
kyjzU,298.15,0.524,101,1076,Sibiya and Deenadayalu (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
kyjzU,298.15,0.6882,101,1091,Sibiya and Deenadayalu (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
kyjzU,298.15,0.7833,101,1098,Sibiya and Deenadayalu (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
kyjzU,298.15,0.8439,101,1102,Sibiya and Deenadayalu (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
kyjzU,298.15,0.9533,101,1107,Sibiya and Deenadayalu (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
kyjzU,303.15,0.0736,101,915,Sibiya and Deenadayalu (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
kyjzU,303.15,0.1146,101,952,Sibiya and Deenadayalu (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
kyjzU,303.15,0.2152,101,1006,Sibiya and Deenadayalu (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
kyjzU,303.15,0.3303,101,1041,Sibiya and Deenadayalu (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
kyjzU,303.15,0.4033,101,1055,Sibiya and Deenadayalu (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
kyjzU,303.15,0.524,101,1072,Sibiya and Deenadayalu (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
kyjzU,303.15,0.6882,101,1087,Sibiya and Deenadayalu (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
kyjzU,303.15,0.7833,101,1094,Sibiya and Deenadayalu (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
kyjzU,303.15,0.8439,101,1097,Sibiya and Deenadayalu (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
kyjzU,303.15,0.9533,101,1103,Sibiya and Deenadayalu (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
kyjzU,313.15,0.0736,101,907,Sibiya and Deenadayalu (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
kyjzU,313.15,0.1146,101,944,Sibiya and Deenadayalu (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
kyjzU,313.15,0.2152,101,999,Sibiya and Deenadayalu (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
kyjzU,313.15,0.3303,101,1033,Sibiya and Deenadayalu (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
kyjzU,313.15,0.4033,101,1047,Sibiya and Deenadayalu (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
kyjzU,313.15,0.524,101,1064,Sibiya and Deenadayalu (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
kyjzU,313.15,0.6882,101,1080,Sibiya and Deenadayalu (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
kyjzU,313.15,0.7833,101,1087,Sibiya and Deenadayalu (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
kyjzU,313.15,0.8439,101,1090,Sibiya and Deenadayalu (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
kyjzU,313.15,0.9533,101,1096,Sibiya and Deenadayalu (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
