setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
lIvQu,293.15,0.1,100,1237.3,Altun and Sara (2022),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
lIvQu,293.15,0.2002,100,1309.8,Altun and Sara (2022),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
lIvQu,293.15,0.2997,100,1347.9,Altun and Sara (2022),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
lIvQu,293.15,0.4015,100,1375.7,Altun and Sara (2022),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
lIvQu,293.15,0.4993,100,1392.5,Altun and Sara (2022),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
lIvQu,293.15,0.6007,100,1405.5,Altun and Sara (2022),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
lIvQu,293.15,0.7003,100,1412.9,Altun and Sara (2022),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
lIvQu,293.15,0.7993,100,1421,Altun and Sara (2022),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
lIvQu,293.15,0.9,100,1431,Altun and Sara (2022),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
lIvQu,298.15,0.1,100,1233.1,Altun and Sara (2022),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
lIvQu,298.15,0.2002,100,1305.1,Altun and Sara (2022),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALwIY,OCCO,"1,2-ethanediol",,,
