setid,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
lhJTE,293.15,101.325,1122.9,Gonfa et al. (2015b),Density,Liquid,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,,,,
lhJTE,298.15,101.325,1119.8,Gonfa et al. (2015b),Density,Liquid,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,,,,
lhJTE,303.15,101.325,1116.7,Gonfa et al. (2015b),Density,Liquid,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,,,,
lhJTE,308.15,101.325,1113.6,Gonfa et al. (2015b),Density,Liquid,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,,,,
lhJTE,313.15,101.325,1110.6,Gonfa et al. (2015b),Density,Liquid,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,,,,
lhJTE,318.15,101.325,1107.5,Gonfa et al. (2015b),Density,Liquid,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,,,,
lhJTE,323.15,101.325,1104.5,Gonfa et al. (2015b),Density,Liquid,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,,,,
lhJTE,328.15,101.325,1101.5,Gonfa et al. (2015b),Density,Liquid,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,,,,
lhJTE,333.15,101.325,1098.6,Gonfa et al. (2015b),Density,Liquid,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,,,,
lhJTE,338.15,101.325,1095.6,Gonfa et al. (2015b),Density,Liquid,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,,,,
lhJTE,343.15,101.325,1092.7,Gonfa et al. (2015b),Density,Liquid,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,,,,
lhJTE,348.15,101.325,1089.8,Gonfa et al. (2015b),Density,Liquid,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,,,,
lhJTE,353.15,101.325,1086.9,Gonfa et al. (2015b),Density,Liquid,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,,,,
