setid,"Mole fraction of 1,2-butanediol","Temperature, K","Pressure, kPa",Mole fraction of 1-butyl-3-methylimidazolium bromide,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
nRzmu,0.005,298.15,101,0.01,1025.72,Rodrigues and Francesconi (2011),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
nRzmu,0.01,298.15,101,0.01,1026.25,Rodrigues and Francesconi (2011),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
nRzmu,0.0202,298.15,101,0.01,1026.45,Rodrigues and Francesconi (2011),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
nRzmu,0.04,298.15,101,0.01,1029.52,Rodrigues and Francesconi (2011),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
nRzmu,0.06,298.15,101,0.01,1029.52,Rodrigues and Francesconi (2011),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
nRzmu,0.0801,298.15,101,0.01,1029.97,Rodrigues and Francesconi (2011),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
nRzmu,0.1002,298.15,101,0.01,1030.25,Rodrigues and Francesconi (2011),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
nRzmu,0.2009,298.15,101,0.01,1029.28,Rodrigues and Francesconi (2011),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
nRzmu,0.2501,298.15,101,0.01,1028,Rodrigues and Francesconi (2011),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
nRzmu,0.3,298.15,101,0.01,1026.39,Rodrigues and Francesconi (2011),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
nRzmu,0.3505,298.15,101,0.01,1024.41,Rodrigues and Francesconi (2011),Density,Liquid,AARRxF,CCC(O)CO,"1,2-butanediol",AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
