setid,Mole fraction of 1-butyl-3-methylimidazolium tetrafluoroborate,Mole fraction of 2-aminoethan-1-ol,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
nZWzz,0.0132,0.1322,293.15,101.3,1035.5,Xu and Wang (2018),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water
nZWzz,0.0132,0.1322,298.15,101.3,1032.9,Xu and Wang (2018),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water
nZWzz,0.0132,0.1322,303.15,101.3,1030.2,Xu and Wang (2018),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water
nZWzz,0.0132,0.1322,308.15,101.3,1027.4,Xu and Wang (2018),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water
nZWzz,0.0132,0.1322,313.15,101.3,1024.4,Xu and Wang (2018),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water
nZWzz,0.0132,0.1322,318.15,101.3,1021.5,Xu and Wang (2018),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water
nZWzz,0.0132,0.1322,323.15,101.3,1018.5,Xu and Wang (2018),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water
nZWzz,0.0132,0.1322,328.15,101.3,1015.6,Xu and Wang (2018),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water
nZWzz,0.0132,0.1322,333.15,101.3,1014.7,Xu and Wang (2018),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water
nZWzz,0.0255,0.051,293.15,101.3,1046.1,Xu and Wang (2018),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water
nZWzz,0.0255,0.051,298.15,101.3,1043.7,Xu and Wang (2018),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water
nZWzz,0.0255,0.051,303.15,101.3,1041,Xu and Wang (2018),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water
nZWzz,0.0255,0.051,308.15,101.3,1038.3,Xu and Wang (2018),Density,Liquid,AArYBF,CCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-butyl-3-methylimidazolium tetrafluoroborate,AALmBl,NCCO,2-aminoethan-1-ol,AADYJk,O,water
