setid,"Temperature, K",Weight fraction of water,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
nveqa,298.15,0.00636,100,1181.7,Wei et al. (2015a),Density,Liquid,AADYJk,O,water,AAsEKs,CCCn1cc[n+](C)c1.N[C@@H](CO)C(=O)[O-],1-methyl-3-propylimidazolium L-serinate,,,
nveqa,298.15,0.00785,100,1181.7,Wei et al. (2015a),Density,Liquid,AADYJk,O,water,AAsEKs,CCCn1cc[n+](C)c1.N[C@@H](CO)C(=O)[O-],1-methyl-3-propylimidazolium L-serinate,,,
nveqa,298.15,0.00939,100,1181.8,Wei et al. (2015a),Density,Liquid,AADYJk,O,water,AAsEKs,CCCn1cc[n+](C)c1.N[C@@H](CO)C(=O)[O-],1-methyl-3-propylimidazolium L-serinate,,,
nveqa,298.15,0.0109,100,1181.8,Wei et al. (2015a),Density,Liquid,AADYJk,O,water,AAsEKs,CCCn1cc[n+](C)c1.N[C@@H](CO)C(=O)[O-],1-methyl-3-propylimidazolium L-serinate,,,
nveqa,298.15,0.0124,100,1181.9,Wei et al. (2015a),Density,Liquid,AADYJk,O,water,AAsEKs,CCCn1cc[n+](C)c1.N[C@@H](CO)C(=O)[O-],1-methyl-3-propylimidazolium L-serinate,,,
nveqa,303.15,0.00636,100,1178.5,Wei et al. (2015a),Density,Liquid,AADYJk,O,water,AAsEKs,CCCn1cc[n+](C)c1.N[C@@H](CO)C(=O)[O-],1-methyl-3-propylimidazolium L-serinate,,,
nveqa,303.15,0.00785,100,1178.6,Wei et al. (2015a),Density,Liquid,AADYJk,O,water,AAsEKs,CCCn1cc[n+](C)c1.N[C@@H](CO)C(=O)[O-],1-methyl-3-propylimidazolium L-serinate,,,
nveqa,303.15,0.00939,100,1178.6,Wei et al. (2015a),Density,Liquid,AADYJk,O,water,AAsEKs,CCCn1cc[n+](C)c1.N[C@@H](CO)C(=O)[O-],1-methyl-3-propylimidazolium L-serinate,,,
nveqa,303.15,0.0109,100,1178.7,Wei et al. (2015a),Density,Liquid,AADYJk,O,water,AAsEKs,CCCn1cc[n+](C)c1.N[C@@H](CO)C(=O)[O-],1-methyl-3-propylimidazolium L-serinate,,,
nveqa,303.15,0.0124,100,1178.7,Wei et al. (2015a),Density,Liquid,AADYJk,O,water,AAsEKs,CCCn1cc[n+](C)c1.N[C@@H](CO)C(=O)[O-],1-methyl-3-propylimidazolium L-serinate,,,
