setid,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
oMMwQ,100,298.15,1119.8,Foulet et al. (2016),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",,,,,,
oMMwQ,100,303.15,1116.8,Foulet et al. (2016),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",,,,,,
oMMwQ,100,308.15,1113.8,Foulet et al. (2016),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",,,,,,
oMMwQ,100,313.15,1111.2,Foulet et al. (2016),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",,,,,,
oMMwQ,100,318.15,1108.8,Foulet et al. (2016),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",,,,,,
oMMwQ,100,323.15,1105.5,Foulet et al. (2016),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",,,,,,
oMMwQ,100,328.15,1102.6,Foulet et al. (2016),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",,,,,,
oMMwQ,100,333.15,1099.7,Foulet et al. (2016),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",,,,,,
oMMwQ,100,338.15,1096.7,Foulet et al. (2016),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",,,,,,
oMMwQ,100,343.15,1093.8,Foulet et al. (2016),Density,Liquid,AAkyNk,C[C@H](N)C(=O)[O-].C[N+](C)(C)CCO,"2-hydroxy-N,N,N-trimethylethanaminium L-alaninate",,,,,,
