setid,Mole fraction of 1-ethyl-3-methylimidazolium acetate,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
pJaXl,0,101.3,293.15,789.5,Hou et al. (2011),Density,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
pJaXl,0.0506,101.3,293.15,832,Hou et al. (2011),Density,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
pJaXl,0.0617,101.3,293.15,840.2,Hou et al. (2011),Density,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
pJaXl,0.0701,101.3,293.15,846.6,Hou et al. (2011),Density,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
pJaXl,0.0837,101.3,293.15,856.2,Hou et al. (2011),Density,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
pJaXl,0.1103,101.3,293.15,874.1,Hou et al. (2011),Density,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
pJaXl,0.1919,101.3,293.15,920.7,Hou et al. (2011),Density,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
pJaXl,0.2246,101.3,293.15,936.5,Hou et al. (2011),Density,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
pJaXl,0.2375,101.3,293.15,942.4,Hou et al. (2011),Density,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
pJaXl,0.2691,101.3,293.15,955.9,Hou et al. (2011),Density,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
pJaXl,0.4627,101.3,293.15,1018.9,Hou et al. (2011),Density,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
pJaXl,0.5714,101.3,293.15,1043.3,Hou et al. (2011),Density,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
pJaXl,0.7035,101.3,293.15,1066.8,Hou et al. (2011),Density,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
pJaXl,0.8771,101.3,293.15,1089.9,Hou et al. (2011),Density,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
pJaXl,0.9267,101.3,293.15,1095.4,Hou et al. (2011),Density,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
pJaXl,1,101.3,293.15,1102.7,Hou et al. (2011),Density,Liquid,AAIsrh,CCO,ethanol,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
