setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium L-lactate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
qLiIQ,298.15,0,101,805.7,Jiang et al. (2013),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
qLiIQ,298.15,0.0999,101,875.7,Jiang et al. (2013),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
qLiIQ,298.15,0.1996,101,927.3,Jiang et al. (2013),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
qLiIQ,298.15,0.303,101,968.1,Jiang et al. (2013),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
qLiIQ,298.15,0.3998,101,997.8,Jiang et al. (2013),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
qLiIQ,298.15,0.5,101,1024.2,Jiang et al. (2013),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
qLiIQ,298.15,0.6002,101,1044.6,Jiang et al. (2013),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
qLiIQ,298.15,0.7001,101,1060.8,Jiang et al. (2013),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
qLiIQ,298.15,0.8,101,1076.4,Jiang et al. (2013),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
qLiIQ,298.15,0.8999,101,1091.8,Jiang et al. (2013),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
qLiIQ,298.15,1,101,1111.2,Jiang et al. (2013),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
qLiIQ,308.15,0,101,798,Jiang et al. (2013),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
qLiIQ,308.15,0.0999,101,868.3,Jiang et al. (2013),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
qLiIQ,308.15,0.1996,101,920.3,Jiang et al. (2013),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
qLiIQ,308.15,0.303,101,960.8,Jiang et al. (2013),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
qLiIQ,308.15,0.3998,101,990.5,Jiang et al. (2013),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
qLiIQ,308.15,0.5,101,1017.2,Jiang et al. (2013),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
qLiIQ,308.15,0.6002,101,1037.4,Jiang et al. (2013),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
qLiIQ,308.15,0.7001,101,1053.9,Jiang et al. (2013),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
qLiIQ,308.15,0.8,101,1069,Jiang et al. (2013),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
qLiIQ,308.15,0.8999,101,1084.2,Jiang et al. (2013),Density,Liquid,AAONVE,CCCCO,butan-1-ol,AArumu,CCCC[n+]1ccn(C)c1.C[C@H](O)C(=O)[O-],1-butyl-3-methylimidazolium L-lactate,,,
