setid,Mole fraction of ethylammonium nitrate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
qOUQo,0,298.1,101.3,1112.6,Singh et al. (2022),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAUVWV,OCCOCCO,diethylene glycol,,,
qOUQo,0,308.1,101.3,1105.5,Singh et al. (2022),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAUVWV,OCCOCCO,diethylene glycol,,,
qOUQo,0,318.1,101.3,1098.3,Singh et al. (2022),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAUVWV,OCCOCCO,diethylene glycol,,,
qOUQo,0.0488,298.1,101.3,1119.8,Singh et al. (2022),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAUVWV,OCCOCCO,diethylene glycol,,,
qOUQo,0.0488,308.1,101.3,1112.7,Singh et al. (2022),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAUVWV,OCCOCCO,diethylene glycol,,,
qOUQo,0.0488,318.1,101.3,1105.6,Singh et al. (2022),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAUVWV,OCCOCCO,diethylene glycol,,,
qOUQo,0.0983,298.1,101.3,1126.3,Singh et al. (2022),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAUVWV,OCCOCCO,diethylene glycol,,,
qOUQo,0.0983,308.1,101.3,1119.3,Singh et al. (2022),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAUVWV,OCCOCCO,diethylene glycol,,,
qOUQo,0.0983,318.1,101.3,1112.4,Singh et al. (2022),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAUVWV,OCCOCCO,diethylene glycol,,,
qOUQo,0.197,298.1,101.3,1138,Singh et al. (2022),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAUVWV,OCCOCCO,diethylene glycol,,,
qOUQo,0.197,308.1,101.3,1131.4,Singh et al. (2022),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAUVWV,OCCOCCO,diethylene glycol,,,
qOUQo,0.197,318.1,101.3,1124.7,Singh et al. (2022),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAUVWV,OCCOCCO,diethylene glycol,,,
qOUQo,0.2961,298.1,101.3,1148.1,Singh et al. (2022),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAUVWV,OCCOCCO,diethylene glycol,,,
qOUQo,0.2961,308.1,101.3,1141.7,Singh et al. (2022),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAUVWV,OCCOCCO,diethylene glycol,,,
qOUQo,0.2961,318.1,101.3,1135.2,Singh et al. (2022),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAUVWV,OCCOCCO,diethylene glycol,,,
qOUQo,0.3955,298.1,101.3,1157.2,Singh et al. (2022),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAUVWV,OCCOCCO,diethylene glycol,,,
qOUQo,0.3955,308.1,101.3,1150.9,Singh et al. (2022),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAUVWV,OCCOCCO,diethylene glycol,,,
qOUQo,0.3955,318.1,101.3,1144.6,Singh et al. (2022),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAUVWV,OCCOCCO,diethylene glycol,,,
qOUQo,0.4954,298.1,101.3,1166.3,Singh et al. (2022),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAUVWV,OCCOCCO,diethylene glycol,,,
qOUQo,0.4954,308.1,101.3,1160,Singh et al. (2022),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAUVWV,OCCOCCO,diethylene glycol,,,
qOUQo,0.4954,318.1,101.3,1153.8,Singh et al. (2022),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAUVWV,OCCOCCO,diethylene glycol,,,
qOUQo,0.5955,298.1,101.3,1174.9,Singh et al. (2022),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAUVWV,OCCOCCO,diethylene glycol,,,
qOUQo,0.5955,308.1,101.3,1168.7,Singh et al. (2022),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAUVWV,OCCOCCO,diethylene glycol,,,
qOUQo,0.5955,318.1,101.3,1162.5,Singh et al. (2022),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAUVWV,OCCOCCO,diethylene glycol,,,
qOUQo,0.6961,298.1,101.3,1183.7,Singh et al. (2022),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAUVWV,OCCOCCO,diethylene glycol,,,
qOUQo,0.6961,308.1,101.3,1177.5,Singh et al. (2022),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAUVWV,OCCOCCO,diethylene glycol,,,
qOUQo,0.6961,318.1,101.3,1171.3,Singh et al. (2022),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAUVWV,OCCOCCO,diethylene glycol,,,
qOUQo,0.797,298.1,101.3,1192.6,Singh et al. (2022),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAUVWV,OCCOCCO,diethylene glycol,,,
qOUQo,0.797,308.1,101.3,1186.4,Singh et al. (2022),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAUVWV,OCCOCCO,diethylene glycol,,,
qOUQo,0.797,318.1,101.3,1180.2,Singh et al. (2022),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAUVWV,OCCOCCO,diethylene glycol,,,
qOUQo,0.8983,298.1,101.3,1200.8,Singh et al. (2022),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAUVWV,OCCOCCO,diethylene glycol,,,
qOUQo,0.8983,308.1,101.3,1194.6,Singh et al. (2022),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAUVWV,OCCOCCO,diethylene glycol,,,
qOUQo,0.8983,318.1,101.3,1188.5,Singh et al. (2022),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAUVWV,OCCOCCO,diethylene glycol,,,
qOUQo,1,298.1,101.3,1209.1,Singh et al. (2022),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAUVWV,OCCOCCO,diethylene glycol,,,
qOUQo,1,308.1,101.3,1202.9,Singh et al. (2022),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAUVWV,OCCOCCO,diethylene glycol,,,
qOUQo,1,318.1,101.3,1196.8,Singh et al. (2022),Density,Liquid,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,AAUVWV,OCCOCCO,diethylene glycol,,,
