setid,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
qqZqZ,283.15,101.325,985.65,Koller et al. (2014),Density,Liquid,ABHiuv,CCCCCCCCn1cc[n+](C)c1.N#C[B-](C#N)(C#N)C#N,1-methyl-3-octylimidazolium tetracyanoborate,,,,,,
qqZqZ,288.15,101.325,982.14,Koller et al. (2014),Density,Liquid,ABHiuv,CCCCCCCCn1cc[n+](C)c1.N#C[B-](C#N)(C#N)C#N,1-methyl-3-octylimidazolium tetracyanoborate,,,,,,
qqZqZ,293.15,101.325,978.62,Koller et al. (2014),Density,Liquid,ABHiuv,CCCCCCCCn1cc[n+](C)c1.N#C[B-](C#N)(C#N)C#N,1-methyl-3-octylimidazolium tetracyanoborate,,,,,,
qqZqZ,298.15,101.325,975.1,Koller et al. (2014),Density,Liquid,ABHiuv,CCCCCCCCn1cc[n+](C)c1.N#C[B-](C#N)(C#N)C#N,1-methyl-3-octylimidazolium tetracyanoborate,,,,,,
qqZqZ,303.15,101.325,971.6,Koller et al. (2014),Density,Liquid,ABHiuv,CCCCCCCCn1cc[n+](C)c1.N#C[B-](C#N)(C#N)C#N,1-methyl-3-octylimidazolium tetracyanoborate,,,,,,
qqZqZ,308.15,101.325,968.12,Koller et al. (2014),Density,Liquid,ABHiuv,CCCCCCCCn1cc[n+](C)c1.N#C[B-](C#N)(C#N)C#N,1-methyl-3-octylimidazolium tetracyanoborate,,,,,,
qqZqZ,313.15,101.325,964.65,Koller et al. (2014),Density,Liquid,ABHiuv,CCCCCCCCn1cc[n+](C)c1.N#C[B-](C#N)(C#N)C#N,1-methyl-3-octylimidazolium tetracyanoborate,,,,,,
qqZqZ,318.15,101.325,961.2,Koller et al. (2014),Density,Liquid,ABHiuv,CCCCCCCCn1cc[n+](C)c1.N#C[B-](C#N)(C#N)C#N,1-methyl-3-octylimidazolium tetracyanoborate,,,,,,
qqZqZ,323.15,101.325,957.76,Koller et al. (2014),Density,Liquid,ABHiuv,CCCCCCCCn1cc[n+](C)c1.N#C[B-](C#N)(C#N)C#N,1-methyl-3-octylimidazolium tetracyanoborate,,,,,,
qqZqZ,328.15,101.325,954.34,Koller et al. (2014),Density,Liquid,ABHiuv,CCCCCCCCn1cc[n+](C)c1.N#C[B-](C#N)(C#N)C#N,1-methyl-3-octylimidazolium tetracyanoborate,,,,,,
qqZqZ,333.15,101.325,950.94,Koller et al. (2014),Density,Liquid,ABHiuv,CCCCCCCCn1cc[n+](C)c1.N#C[B-](C#N)(C#N)C#N,1-methyl-3-octylimidazolium tetracyanoborate,,,,,,
qqZqZ,338.15,101.325,947.55,Koller et al. (2014),Density,Liquid,ABHiuv,CCCCCCCCn1cc[n+](C)c1.N#C[B-](C#N)(C#N)C#N,1-methyl-3-octylimidazolium tetracyanoborate,,,,,,
qqZqZ,343.15,101.325,944.17,Koller et al. (2014),Density,Liquid,ABHiuv,CCCCCCCCn1cc[n+](C)c1.N#C[B-](C#N)(C#N)C#N,1-methyl-3-octylimidazolium tetracyanoborate,,,,,,
qqZqZ,348.15,101.325,940.82,Koller et al. (2014),Density,Liquid,ABHiuv,CCCCCCCCn1cc[n+](C)c1.N#C[B-](C#N)(C#N)C#N,1-methyl-3-octylimidazolium tetracyanoborate,,,,,,
qqZqZ,353.15,101.325,937.45,Koller et al. (2014),Density,Liquid,ABHiuv,CCCCCCCCn1cc[n+](C)c1.N#C[B-](C#N)(C#N)C#N,1-methyl-3-octylimidazolium tetracyanoborate,,,,,,
qqZqZ,358.15,101.325,934.15,Koller et al. (2014),Density,Liquid,ABHiuv,CCCCCCCCn1cc[n+](C)c1.N#C[B-](C#N)(C#N)C#N,1-methyl-3-octylimidazolium tetracyanoborate,,,,,,
qqZqZ,363.15,101.325,930.84,Koller et al. (2014),Density,Liquid,ABHiuv,CCCCCCCCn1cc[n+](C)c1.N#C[B-](C#N)(C#N)C#N,1-methyl-3-octylimidazolium tetracyanoborate,,,,,,
