setid,"Mole fraction of 1,2-dimethylbenzene","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
qsvQQ,0,101,283.15,1461.72,Gonzalez et al. (2015c),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",ABcDdV,CCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide,,,
qsvQQ,0.0479,101,283.15,1450.35,Gonzalez et al. (2015c),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",ABcDdV,CCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide,,,
qsvQQ,0.1039,101,283.15,1435.93,Gonzalez et al. (2015c),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",ABcDdV,CCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide,,,
qsvQQ,0.2077,101,283.15,1407.1,Gonzalez et al. (2015c),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",ABcDdV,CCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide,,,
qsvQQ,0.3042,101,283.15,1376.72,Gonzalez et al. (2015c),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",ABcDdV,CCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide,,,
qsvQQ,0.4059,101,283.15,1341.73,Gonzalez et al. (2015c),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",ABcDdV,CCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide,,,
qsvQQ,0.4992,101,283.15,1303.02,Gonzalez et al. (2015c),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",ABcDdV,CCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide,,,
qsvQQ,0.588,101,283.15,1258.48,Gonzalez et al. (2015c),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",ABcDdV,CCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide,,,
qsvQQ,0.6238,101,283.15,1238,Gonzalez et al. (2015c),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",ABcDdV,CCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide,,,
qsvQQ,0.649,101,283.15,1222.51,Gonzalez et al. (2015c),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",ABcDdV,CCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide,,,
qsvQQ,1,101,283.15,888.1,Gonzalez et al. (2015c),Density,Liquid,AAUVtU,Cc1ccccc1C,"1,2-dimethylbenzene",ABcDdV,CCC[n+]1cccc(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3-methyl-1-propylpyridinium bis(trifluoromethylsulfonyl)imide,,,
