setid,"Temperature, K",Mole fraction of carbon dioxide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
rCikw,293.15,0,15000,1377,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,293.15,0,20000,1379,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,293.15,0.056,10000,1371,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,293.15,0.056,15000,1374,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,293.15,0.056,20000,1377,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,293.15,0.123,10000,1368,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,293.15,0.123,15000,1371,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,293.15,0.123,20000,1375,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,293.15,0.229,10000,1361,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,293.15,0.229,15000,1365,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,293.15,0.229,20000,1368,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,293.15,0.332,10000,1354,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,293.15,0.332,15000,1358,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,293.15,0.332,20000,1362,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,293.15,0.44,10000,1346,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,293.15,0.44,15000,1351,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,293.15,0.44,20000,1355,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,313.15,0,15000,1362,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,313.15,0,20000,1364,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,313.15,0.056,10000,1350,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,313.15,0.056,15000,1356,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,313.15,0.056,20000,1360,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,313.15,0.123,10000,1342,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,313.15,0.123,15000,1351,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,313.15,0.123,20000,1356,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,313.15,0.229,10000,1329,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,313.15,0.229,15000,1344,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,313.15,0.229,20000,1350,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,313.15,0.332,10000,1313,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,313.15,0.332,15000,1337,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,313.15,0.332,20000,1342,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,313.15,0.44,10000,1288,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,313.15,0.44,15000,1323,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,313.15,0.44,20000,1330,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,333.15,0,15000,1346,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,333.15,0,20000,1349,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,333.15,0.056,10000,1327,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,333.15,0.056,15000,1338,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,333.15,0.056,20000,1343,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,333.15,0.123,10000,1313,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,333.15,0.123,15000,1330,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,333.15,0.123,20000,1338,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,333.15,0.229,10000,1293,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,333.15,0.229,15000,1321,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,333.15,0.229,20000,1329,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,333.15,0.332,10000,1268,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,333.15,0.332,15000,1308,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,333.15,0.332,20000,1319,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,333.15,0.44,10000,1223,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,333.15,0.44,15000,1286,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,333.15,0.44,20000,1304,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,353.15,0,15000,1330,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,353.15,0,20000,1332,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,353.15,0.056,10000,1306,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,353.15,0.056,15000,1319,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,353.15,0.056,20000,1325,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,353.15,0.123,10000,1286,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,353.15,0.123,15000,1310,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,353.15,0.123,20000,1319,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,353.15,0.229,10000,1260,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,353.15,0.229,15000,1299,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,353.15,0.229,20000,1310,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,353.15,0.332,10000,1226,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,353.15,0.332,15000,1284,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
rCikw,353.15,0.332,20000,1298,Tomida et al. (2007c),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
