setid,"Temperature, K",Mole ratio to solvent: 3-amino-1-propanol,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
rUrdH,293.15,4,101.3,998.6,Nowosielski et al. (2020),Density,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,,,
rUrdH,293.15,6,101.3,996,Nowosielski et al. (2020),Density,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,,,
rUrdH,293.15,8,101.3,994.6,Nowosielski et al. (2020),Density,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,,,
rUrdH,298.15,4,101.3,995.1,Nowosielski et al. (2020),Density,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,,,
rUrdH,298.15,6,101.3,992.4,Nowosielski et al. (2020),Density,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,,,
rUrdH,298.15,8,101.3,990.8,Nowosielski et al. (2020),Density,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,,,
rUrdH,303.15,4,101.3,991.5,Nowosielski et al. (2020),Density,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,,,
rUrdH,303.15,6,101.3,988.7,Nowosielski et al. (2020),Density,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,,,
rUrdH,303.15,8,101.3,987.1,Nowosielski et al. (2020),Density,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,,,
rUrdH,308.15,4,101.3,988,Nowosielski et al. (2020),Density,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,,,
rUrdH,308.15,6,101.3,985.1,Nowosielski et al. (2020),Density,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,,,
rUrdH,308.15,8,101.3,983.4,Nowosielski et al. (2020),Density,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,,,
rUrdH,313.15,4,101.3,984.5,Nowosielski et al. (2020),Density,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,,,
rUrdH,313.15,6,101.3,981.4,Nowosielski et al. (2020),Density,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,,,
rUrdH,313.15,8,101.3,979.7,Nowosielski et al. (2020),Density,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,,,
rUrdH,318.15,4,101.3,981,Nowosielski et al. (2020),Density,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,,,
rUrdH,318.15,6,101.3,977.8,Nowosielski et al. (2020),Density,Liquid,AAOXbF,NCCCO,3-amino-1-propanol,AAftPF,CC[N+](CC)(CC)CC.[Cl-],tetraethylammonium chloride,,,
