setid,"Temperature, K","Mole fraction of 1,3-dimethylimidazolium dimethyl phosphate","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
rfjFZ,298.15,0.202,101.325,1000.6,He et al. (2010),Density,Liquid,AAIsrh,CCO,ethanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
rfjFZ,298.15,0.414,101.325,1116.5,He et al. (2010),Density,Liquid,AAIsrh,CCO,ethanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
rfjFZ,298.15,0.562,101.325,1166.7,He et al. (2010),Density,Liquid,AAIsrh,CCO,ethanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
rfjFZ,298.15,0.807,101.325,1223.2,He et al. (2010),Density,Liquid,AAIsrh,CCO,ethanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
rfjFZ,298.15,1,101.325,1258.7,He et al. (2010),Density,Liquid,AAIsrh,CCO,ethanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
rfjFZ,303.15,0.202,101.325,996.6,He et al. (2010),Density,Liquid,AAIsrh,CCO,ethanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
rfjFZ,303.15,0.414,101.325,1113.4,He et al. (2010),Density,Liquid,AAIsrh,CCO,ethanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
rfjFZ,303.15,0.562,101.325,1163.4,He et al. (2010),Density,Liquid,AAIsrh,CCO,ethanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
rfjFZ,303.15,0.807,101.325,1219.5,He et al. (2010),Density,Liquid,AAIsrh,CCO,ethanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
rfjFZ,303.15,1,101.325,1255.9,He et al. (2010),Density,Liquid,AAIsrh,CCO,ethanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
rfjFZ,308.15,0.202,101.325,992.7,He et al. (2010),Density,Liquid,AAIsrh,CCO,ethanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
rfjFZ,308.15,0.414,101.325,1109.8,He et al. (2010),Density,Liquid,AAIsrh,CCO,ethanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
rfjFZ,308.15,0.562,101.325,1159.7,He et al. (2010),Density,Liquid,AAIsrh,CCO,ethanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
rfjFZ,308.15,0.807,101.325,1216.8,He et al. (2010),Density,Liquid,AAIsrh,CCO,ethanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
rfjFZ,308.15,1,101.325,1253,He et al. (2010),Density,Liquid,AAIsrh,CCO,ethanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
rfjFZ,313.15,0.202,101.325,989.7,He et al. (2010),Density,Liquid,AAIsrh,CCO,ethanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
rfjFZ,313.15,0.414,101.325,1106.6,He et al. (2010),Density,Liquid,AAIsrh,CCO,ethanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
rfjFZ,313.15,0.562,101.325,1156.2,He et al. (2010),Density,Liquid,AAIsrh,CCO,ethanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
rfjFZ,313.15,0.807,101.325,1213.8,He et al. (2010),Density,Liquid,AAIsrh,CCO,ethanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
rfjFZ,313.15,1,101.325,1249.1,He et al. (2010),Density,Liquid,AAIsrh,CCO,ethanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
rfjFZ,318.15,0.202,101.325,986.9,He et al. (2010),Density,Liquid,AAIsrh,CCO,ethanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
rfjFZ,318.15,0.414,101.325,1103.5,He et al. (2010),Density,Liquid,AAIsrh,CCO,ethanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
rfjFZ,318.15,0.562,101.325,1152.4,He et al. (2010),Density,Liquid,AAIsrh,CCO,ethanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
rfjFZ,318.15,0.807,101.325,1211.4,He et al. (2010),Density,Liquid,AAIsrh,CCO,ethanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
rfjFZ,318.15,1,101.325,1245.2,He et al. (2010),Density,Liquid,AAIsrh,CCO,ethanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
rfjFZ,323.15,0.202,101.325,983.2,He et al. (2010),Density,Liquid,AAIsrh,CCO,ethanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
rfjFZ,323.15,0.414,101.325,1098.4,He et al. (2010),Density,Liquid,AAIsrh,CCO,ethanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
rfjFZ,323.15,0.562,101.325,1148.5,He et al. (2010),Density,Liquid,AAIsrh,CCO,ethanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
rfjFZ,323.15,0.807,101.325,1207.5,He et al. (2010),Density,Liquid,AAIsrh,CCO,ethanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
rfjFZ,323.15,1,101.325,1241.5,He et al. (2010),Density,Liquid,AAIsrh,CCO,ethanol,AAqlaB,COP(=O)([O-])OC.Cn1cc[n+](C)c1,"1,3-dimethylimidazolium dimethyl phosphate",,,
