setid,"Temperature, K",Mole fraction of propylammonium nitrate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
rhtdE,293.15,0.5,101,1129.7,Canongia Lopes et al. (2016),Density,Liquid,AAXZSQ,CCC[NH3+].O=[N+]([O-])[O-],propylammonium nitrate,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
rhtdE,298.15,0.5,101,1126.6,Canongia Lopes et al. (2016),Density,Liquid,AAXZSQ,CCC[NH3+].O=[N+]([O-])[O-],propylammonium nitrate,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
rhtdE,303.15,0.5,101,1123.4,Canongia Lopes et al. (2016),Density,Liquid,AAXZSQ,CCC[NH3+].O=[N+]([O-])[O-],propylammonium nitrate,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
rhtdE,308.15,0.5,101,1120.4,Canongia Lopes et al. (2016),Density,Liquid,AAXZSQ,CCC[NH3+].O=[N+]([O-])[O-],propylammonium nitrate,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
rhtdE,313.15,0.5,101,1117.3,Canongia Lopes et al. (2016),Density,Liquid,AAXZSQ,CCC[NH3+].O=[N+]([O-])[O-],propylammonium nitrate,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
rhtdE,318.15,0.5,101,1114.3,Canongia Lopes et al. (2016),Density,Liquid,AAXZSQ,CCC[NH3+].O=[N+]([O-])[O-],propylammonium nitrate,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
rhtdE,323.15,0.5,101,1111.3,Canongia Lopes et al. (2016),Density,Liquid,AAXZSQ,CCC[NH3+].O=[N+]([O-])[O-],propylammonium nitrate,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
rhtdE,328.15,0.5,101,1108.3,Canongia Lopes et al. (2016),Density,Liquid,AAXZSQ,CCC[NH3+].O=[N+]([O-])[O-],propylammonium nitrate,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
rhtdE,333.15,0.5,101,1105.4,Canongia Lopes et al. (2016),Density,Liquid,AAXZSQ,CCC[NH3+].O=[N+]([O-])[O-],propylammonium nitrate,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
rhtdE,338.15,0.5,101,1102.5,Canongia Lopes et al. (2016),Density,Liquid,AAXZSQ,CCC[NH3+].O=[N+]([O-])[O-],propylammonium nitrate,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
rhtdE,343.15,0.5,101,1099.6,Canongia Lopes et al. (2016),Density,Liquid,AAXZSQ,CCC[NH3+].O=[N+]([O-])[O-],propylammonium nitrate,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
rhtdE,348.15,0.5,101,1096.7,Canongia Lopes et al. (2016),Density,Liquid,AAXZSQ,CCC[NH3+].O=[N+]([O-])[O-],propylammonium nitrate,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
rhtdE,353.15,0.5,101,1093.8,Canongia Lopes et al. (2016),Density,Liquid,AAXZSQ,CCC[NH3+].O=[N+]([O-])[O-],propylammonium nitrate,AAaJgU,CCCC[NH3+].O=[N+]([O-])[O-],n-butylammonium nitrate,,,
