setid,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
rmnYI,298.15,101.325,1218,Zhao et al. (2014),Density,Liquid,ABBvjE,COCCOCCn1cc[n+](C)c1.CS(=O)(=O)[O-],1-(2-(2-methoxyethoxy)ethyl)-3-methyl-1H-imidazol-3-ium methanesulfonate,,,,,,
rmnYI,303.15,101.325,1212.3,Zhao et al. (2014),Density,Liquid,ABBvjE,COCCOCCn1cc[n+](C)c1.CS(=O)(=O)[O-],1-(2-(2-methoxyethoxy)ethyl)-3-methyl-1H-imidazol-3-ium methanesulfonate,,,,,,
rmnYI,308.15,101.325,1208.8,Zhao et al. (2014),Density,Liquid,ABBvjE,COCCOCCn1cc[n+](C)c1.CS(=O)(=O)[O-],1-(2-(2-methoxyethoxy)ethyl)-3-methyl-1H-imidazol-3-ium methanesulfonate,,,,,,
rmnYI,313.15,101.325,1203.5,Zhao et al. (2014),Density,Liquid,ABBvjE,COCCOCCn1cc[n+](C)c1.CS(=O)(=O)[O-],1-(2-(2-methoxyethoxy)ethyl)-3-methyl-1H-imidazol-3-ium methanesulfonate,,,,,,
rmnYI,318.15,101.325,1198.5,Zhao et al. (2014),Density,Liquid,ABBvjE,COCCOCCn1cc[n+](C)c1.CS(=O)(=O)[O-],1-(2-(2-methoxyethoxy)ethyl)-3-methyl-1H-imidazol-3-ium methanesulfonate,,,,,,
rmnYI,323.15,101.325,1194.3,Zhao et al. (2014),Density,Liquid,ABBvjE,COCCOCCn1cc[n+](C)c1.CS(=O)(=O)[O-],1-(2-(2-methoxyethoxy)ethyl)-3-methyl-1H-imidazol-3-ium methanesulfonate,,,,,,
rmnYI,328.15,101.325,1190.7,Zhao et al. (2014),Density,Liquid,ABBvjE,COCCOCCn1cc[n+](C)c1.CS(=O)(=O)[O-],1-(2-(2-methoxyethoxy)ethyl)-3-methyl-1H-imidazol-3-ium methanesulfonate,,,,,,
rmnYI,333.15,101.325,1187,Zhao et al. (2014),Density,Liquid,ABBvjE,COCCOCCn1cc[n+](C)c1.CS(=O)(=O)[O-],1-(2-(2-methoxyethoxy)ethyl)-3-methyl-1H-imidazol-3-ium methanesulfonate,,,,,,
rmnYI,338.15,101.325,1181.9,Zhao et al. (2014),Density,Liquid,ABBvjE,COCCOCCn1cc[n+](C)c1.CS(=O)(=O)[O-],1-(2-(2-methoxyethoxy)ethyl)-3-methyl-1H-imidazol-3-ium methanesulfonate,,,,,,
rmnYI,343.15,101.325,1177.5,Zhao et al. (2014),Density,Liquid,ABBvjE,COCCOCCn1cc[n+](C)c1.CS(=O)(=O)[O-],1-(2-(2-methoxyethoxy)ethyl)-3-methyl-1H-imidazol-3-ium methanesulfonate,,,,,,
